"name","lat","lon"
"mathaei",-9.1839,-74.14
"mathaei",-7,-76.8333
"mathaei",-6.08333,-77.1
"mathaei",-6.08333,-77.15
"striphnocalyx",-4.14444,-65.08583
"striphnocalyx",-1.26,-69.63
"striphnocalyx",0.12867,-70.94394
"karstenii",0.25,-70.75
"dissitiflora",0.78333,-66.18333
"striphnocalyx",0.846667,-66.091667
"dissitiflora",0.9,-66.07
"dissitiflora",0.961111,-65.9917
"dissitiflora",0.98,-65.93
"striphnocalyx",1.2,-66.85
"dissitiflora",1.43,-65.78
"striphnocalyx",1.47,-68
"striphnocalyx",1.470419,-68.15227
"dissitiflora",1.5,-65.85
"dissitiflora",1.53333,-65.81666
"striphnocalyx",1.7,-66.76
"striphnocalyx",1.78,-67.1
"striphnocalyx",1.78333,-67.26666
"striphnocalyx",1.83333,-66.91666
"striphnocalyx",1.833333,-67
"striphnocalyx",1.916667,-67
"striphnocalyx",1.91667,-67.06667
"striphnocalyx",2.1,-68.183334
"karstenii",2.15871,-73.813258
"striphnocalyx",2.183333,-68.216667
"karstenii",2.20833,-73.85
"karstenii",2.229806,-73.783889
"striphnocalyx",2.266667,-68.366669
"bipenicillata",2.574444,-72.713889
"fraterna",2.58333,-59.3667
"striphnocalyx",2.63,-69.24
"striphnocalyx",2.67,-67.5
"striphnocalyx",2.671389,-69.340836
"bipenicillata",2.6857,-74.1674
"striphnocalyx",2.75,-67.55
"striphnocalyx",2.87083,-67.30833
"striphnocalyx",2.92,-67.43
"striphnocalyx",3.06666,-67.1
"striphnocalyx",3.11,-67.78
"striphnocalyx",3.15,-67.3
"fraterna",3.16,-65.51
"striphnocalyx",3.2,-67.4
"duidae",3.23,-65.56
"fraterna",3.25,-65.71666
"striphnocalyx",3.25,-68.2
"karstenii",3.321,-73.9451
"striphnocalyx",3.34611,-65.6025
"duidae",3.39511,-65.6046
"bipenicillata",3.42878,-74.11561
"karstenii",3.5,-73
"striphnocalyx",3.5,-66
"striphnocalyx",3.51666,-67.36666
"fraterna",3.6,-65.38
"fraterna",3.633333,-65.466667
"striphnocalyx",3.655556,-67.877778
"striphnocalyx",3.66,-66.86
"fraterna",3.67,-65.75
"striphnocalyx",3.68333,-66.45
"striphnocalyx",3.71,-67.59
"striphnocalyx",3.73017,-67.834236
"striphnocalyx",3.78,-67.86
"striphnocalyx",3.8,-67.79
"striphnocalyx",3.82,-67.91
"duidae",3.83,-65.71
"fraterna",3.83,-65.33
"striphnocalyx",3.8811,-72.8667
"striphnocalyx",3.93,-67.58
"catharinae",4.01,-67.01
"karstenii",4.05,-66.02
"karstenii",4.11333,-73.47919
"karstenii",4.157558,-73.635531
"bipenicillata",4.241737,-73.823196
"bipenicillata",4.28382,-73.82819
"striphnocalyx",4.33333,-67.81666
"fraterna",4.37213,-65.706
"bipenicillata",4.398833,-73.043383
"duidae",4.41,-65.53
"duidae",4.41,-65.83
"fraterna",4.5,-65.5
"duidae",4.516667,-65.583333
"striphnocalyx",4.53,-68.09
"duidae",4.58,-64.25
"duidae",4.75,-64.43
"duidae",4.81,-64.56
"bipenicillata",4.85393,-73.28446
"striphnocalyx",4.86,-67.45
"bipenicillata",4.888056,-73.250278
"kunhardtii",4.95,-67.4
"karstenii",4.965,-72.725
"karstenii",4.966667,-74.433333
"bipenicillata",4.969092,-72.822547
"catharinae",4.98,-67.3
"bipenicillata",4.99328,-73.05211
"karstenii",5.025,-72.734
"fraterna",5.05,-61.36
"fraterna",5.06778,-59.9469
"sipapoana",5.0685,-67.4377
"fraterna",5.08,-61.11
"kunhardtii",5.08,-67.31
"catharinae",5.1,-67.4
"fraterna",5.168889,-60.2175
"karstenii",5.195277,-72.587045
"karstenii",5.19819,-72.52479
"bipenicillata",5.452425,-72.469261
"fraterna",5.47,-60.07
"bipenicillata",5.53,-67.53
"bipenicillata",5.55,-67.59
"fraterna",5.63,-60.07
"fraterna",5.66666,-61.5
"bipenicillata",5.68,-67.18
"bipenicillata",5.75,-67.5
"dissitiflora",5.75,-66.05
"dissitiflora",5.77,-66.2
"fraterna",5.82,-62.58
"fraterna",5.83,-62.68
"fraterna",5.832778,-61.234722
"bipenicillata",5.85,-67.483333
"fraterna",5.85,-62.03
"fraterna",5.91,-62.53
"dissitiflora",5.92,-66.38
"fraterna",5.92,-61
"fraterna",5.93,-62.57
"fraterna",5.93,-61.4
"fraterna",5.95,-60.63
"bipenicillata",5.96,-67.36
"fraterna",5.96883,-62.5395
"fraterna",5.988611,-61.06
"bipenicillata",6.03,-67.36
"fraterna",6.036111,-61.15
"bipenicillata",6.26,-71.91
"bipenicillata",6.379569,-71.908153
"bipenicillata",6.444764,-71.880039
"bipenicillata",6.83333,-66.5
"bipenicillata",7.0758,-65.9119
"dissitiflora",7.1225,-66.16944
"bipenicillata",7.345,-81.73138
"bipenicillata",7.61777,-81.75972
"bipenicillata",7.65,-72.16666
"bipenicillata",7.72,-71.97
"bipenicillata",7.78722,-80.79694
"bipenicillata",7.8,-80.683333
"bipenicillata",7.8,-80.75
"bipenicillata",7.8336,-71.7053
"bipenicillata",8.083889,-81.434722
"bipenicillata",8.103056,-80.981667
"bipenicillata",8.1667,-81.25
"bipenicillata",8.30944,-81.01583
"bipenicillata",8.42833,-82.765
"bipenicillata",8.434167,-80.860556
"bipenicillata",8.45444,-71.23972
"bipenicillata",8.50722,-80.10278
"bipenicillata",8.540833,-81.157222
"bipenicillata",8.92,-71.68
"bipenicillata",9.416667,-69.5
"bipenicillata",9.683,-69.508
"bipenicillata",9.69,-84.43
"bipenicillata",9.7,-84.33
"bipenicillata",9.7072,-69.5956
"bipenicillata",9.71,-84.39
"bipenicillata",9.718056,-84.281944
"bipenicillata",9.757778,-84.183889
"bipenicillata",9.787778,-84.523333
"bipenicillata",9.8,-84.16
"bipenicillata",9.883611,-84.4725
"bipenicillata",9.9,-84.27
"bipenicillata",9.96,-84.51
"bipenicillata",9.97,-84.44
"bipenicillata",10,-84.8333
"bipenicillata",10.01,-84.48
"bipenicillata",10.01777,-84.6025
"bipenicillata",10.03,-84.56
"bipenicillata",10.08,-84.4
