"name","lat","lon"
"bipenicillata",8.540833,-81.157222
"bipenicillata",7.8,-80.75
"mathaei",-6.08333,-77.15
"bipenicillata",4.157558,-73.635531
"bipenicillata",8.916667,-71.683333
"bipenicillata",9.7,-69.533333
"bipenicillata",9.42416,-69.50861
"bipenicillata",5.55,-67.59
"striphnocalyx",3.93,-67.58
"striphnocalyx",2.75,-67.55
"bipenicillata",5.53,-67.53
"bipenicillata",5.75,-67.5
"bipenicillata",5.85,-67.483333
"striphnocalyx",4.86,-67.45
"striphnocalyx",3.2,-67.4
"kunhardtii",4.95,-67.4
"catharinae",5.1,-67.4
"striphnocalyx",3.51,-67.36
"bipenicillata",5.96,-67.36
"bipenicillata",6.03,-67.36
"kunhardtii",5.08,-67.31
"catharinae",4.98,-67.3
"bipenicillata",5.68,-67.18
"striphnocalyx",1.91666,-67.08333
"striphnocalyx",1.933333,-67.033333
"striphnocalyx",1.83333,-66.91666
"striphnocalyx",3.66,-66.86
"striphnocalyx",1.7,-66.76
"bipenicillata",6.83333,-66.5
"dissitiflora",5.91,-66.38
"dissitiflora",0.78333,-66.18333
"dissitiflora",7.1225,-66.16944
"striphnocalyx",0.846667,-66.091667
"dissitiflora",5.75,-66.05
"dissitiflora",0.9,-66.04
"dissitiflora",0.98,-65.93
"dissitiflora",1.5,-65.85
"duidae",4.41,-65.83
"dissitiflora",1.53333,-65.81666
"dissitiflora",1.43,-65.78
"fraterna",3.25,-65.71666
"duidae",3.83,-65.71
"duidae",4.51666,-65.58333
"duidae",3.23,-65.56
"duidae",4.41,-65.53
"fraterna",3.16,-65.51
"fraterna",3.633333,-65.466667
"fraterna",3.6,-65.38
"fraterna",3.83,-65.33
"duidae",4.81,-64.56
"duidae",4.75,-64.43
"duidae",4.58,-64.25
"fraterna",5.833333,-62.683333
"fraterna",5.933333,-62.566667
"fraterna",5.91,-62.53
"fraterna",5.85,-62.03
"fraterna",5.66666,-61.5
"fraterna",5.93,-61.4
"fraterna",5.05,-61.36
"fraterna",5.08,-61.11
"fraterna",5.91,-61
"fraterna",5.95,-60.63
"fraterna",5.46667,-60.0667
"fraterna",2.58333,-59.3667
