"name","lat","lon"
"llanorum",4.093261,-73.355115
"barbigera",3.901155,-73.073369
"llanorum",10.1667,-69.8333
"llanorum",9.3083,-69.7
"llanorum",-13.58,-68.77
"llanorum",-13.08333,-67.25
"llanorum",6.44,-67.12
"llanorum",6.28,-67.08
"llanorum",-14.83,-66.67
"llanorum",6.75,-66.5167
"llanorum",-14.58333,-66.5
"llanorum",6.83333,-66.5
"llanorum",-14.83333,-66.38333
"llanorum",5.53,-65.95
"llanorum",7.0758,-65.9119
"llanorum",6.66,-65.71
"llanorum",6.35,-65.55
"barbigera",-16.7261,-64.435
"llanorum",-7.52,-63.17
"pogonanthera",-5.68,-63.1
"barbigera",-16.63,-62.43
"barbigera",-16.03,-62.08
"barbigera",-16.42,-62
"barbigera",-15.2444,-61.5039
"pogonanthera",-14.5397,-61.4981
"barbigera",-14.60583,-61.4925
"llanorum",-13.5508,-61.0586
"llanorum",-14.5333,-61.0167
"llanorum",-13.6,-61
"llanorum",-13.55,-61
"llanorum",-15.1556,-60.9914
"barbigera",-14.5794,-60.9125
"barbigera",-14.6056,-60.8569
"aegopogon",-13.8986,-60.8128
"barbigera",-13.65,-60.8
"albescens",-14.5583,-60.7614
"barbigera",-14.82333,-60.38888
"barbigera",-12.3,-60.38
"barbigera",-0.523889,-60.208889
"melastomoides",-12.694217,-60.099174
"barbigera",-16.17,-59.42
"barbigera",-17.24833,-58.65194
"barbigera",-16.36075,-58.308639
"barbigera",-15.490556,-57.195556
"barbigera",-15.25,-56.92
"barbigera",-15.15,-56.87
"barbigera",-9.362222,-56.784167
"barbigera",-15.18,-56.67
"barbigera",-14.617,-56.583
"barbigera",-13.866667,-56.533333
"barbigera",-14.4122647873905,-56.4468180174412
"verticillaris",-15.030833,-56.362222
"barbigera",-12.634444,-56.335
"barbigera",-14.7242715027636,-56.3282119289827
"barbigera",-13.52,-56.32
"barbigera",-15.6489,-56.195
"barbigera",-15.5997895735814,-56.0977014111779
"barbigera",-9.59,-55.92
"verticillaris",-9.5,-55.8
"barbigera",-20.4748760783427,-55.7879090641848
"barbigera",-15.43,-55.73
"barbigera",-14.473611,-55.680556
"barbigera",-14.35,-55.57
