"specificEpithet","day","month","year","lat","lon"
"aegopogon",23,1,2018,-15.105,-49.033611
"aegopogon",6,9,2018,-15.649167,-52.388056
"aegopogon",4,11,2018,-19.267222,-43.603333
"aegopogon",20,12,2017,-15.716667,-48.941389
"aegopogon",13,1,2016,-15.8425,-47.816944
"aegopogon",19,1,2015,-19.682778,-46.445
"aegopogon",8,2,2015,-15.735277,-47.932777
"aegopogon",5,3,2015,-11.22333,-47.566111
"aegopogon",6,3,2015,-11.69421,-47.70079
"aegopogon",5,3,2015,-11,-47
"aegopogon",26,8,2015,-15.627222,-48.505833
"aegopogon",26,2,2014,-15.450555,-48.055
"aegopogon",15,4,2014,-15.929444,-47.899444
"aegopogon",21,2,2013,-15.725444,-48.890056
"aegopogon",21,2,2013,-15.746667,-48.838889
"aegopogon",19,2,2013,-15.279444,-48.872222
"aegopogon",19,2,2013,-15.781389,-48.8275
"aegopogon",18,2,2013,-15.786389,-48.772222
"aegopogon",21,2,2013,-15.725556,-48.89
"aegopogon",17,1,2012,-15.930833,-47.901944
"aegopogon",24,3,2012,-13.9295,-47.4305
"aegopogon",21,3,2012,-14.121667,-47.649722
"aegopogon",17,3,2012,-16.799314,-47.567975
"aegopogon",17,3,2012,-18.330278,-48.422222
"aegopogon",22,3,2012,-14.251389,-47.846111
"aegopogon",20,3,2012,-14.307778,-47.934722
"aegopogon",21,3,2012,-14.167778,-47.798055
"aegopogon",22,3,2012,-14.305556,-47.9325
"aegopogon",21,3,2012,-14.219444,-47.737222
"aegopogon",22,3,2012,-14.174167,-47.965555
"aegopogon",24,3,2012,-13.929444,-47.430278
"aegopogon",17,3,2012,-16.475753,-47.340471
"aegopogon",29,4,2012,-14.11141,-47.73548
"aegopogon",30,4,2012,-14.09739,-47.71183
"aegopogon",11,12,2012,-15.726667,-48.875833
"aegopogon",8,4,2010,-18.611389,-48.304722
"aegopogon",5,5,2010,-15.78,-47.804444
"aegopogon",28,10,2010,-13.666833,-47.801167
"aegopogon",24,2,2009,-15.81485,-48.85849
"aegopogon",10,3,2007,-15.926389,-47.905556
"aegopogon",25,9,2007,-16.6411,-48.0123
"aegopogon",27,9,2007,-16.675,-47.9943
"aegopogon",8,12,2007,-16.7184,-48.0117
"aegopogon",17,10,2006,-14.235278,-47.905833
"aegopogon",7,12,2006,-15.657778,-48.080556
"aegopogon",7,12,2006,-15.657777,-48.080555
"aegopogon",18,1,2005,-15.824722,-48.906667
"aegopogon",31,3,2005,-15.866667,-47.85
"aegopogon",30,3,2005,-16.536889,-49.15475
"aegopogon",24,4,2005,-18.439444,-51.995278
"aegopogon",NA,4,2005,-18.439444,-51.995278
"aegopogon",7,4,2005,-15.873889,-47.847778
"aegopogon",13,1,2004,-20.164444,-47.273056
"aegopogon",14,2,2004,-14.072694,-47.509333
"aegopogon",25,2,2004,-14.072694,-47.509333
"aegopogon",5,4,2004,-14.072694,-47.509333
"aegopogon",28,4,2004,-14.071389,-47.509333
"aegopogon",18,12,2004,-14.163333,-47.593056
"aegopogon",1,1,2003,-15.866667,-47.85
"aegopogon",20,2,2003,-18.066944,-47.272222
"aegopogon",23,10,2003,-15.786889,-48.868028
"aegopogon",29,11,2003,-20.434444,-46.653333
"aegopogon",20,1,2002,-17.422833,-47.795583
"aegopogon",5,11,2002,-16.20972,-48.21444
"aegopogon",5,12,2002,-20.434444,-46.653333
"aegopogon",5,12,2002,-20.335,-46.812778
"aegopogon",6,12,2002,-20.3425,-46.767222
"aegopogon",16,12,2002,-15.896111,-47.943333
"aegopogon",26,2,2000,-16.733333,-47.679722
"aegopogon",20,3,2000,-16.745944,-47.694667
"aegopogon",NA,3,2000,-16.7409,-47.690133
"aegopogon",20,5,2000,-16.745833,-47.694444
"aegopogon",13,12,2000,-15.7781,-47.8853
"aegopogon",30,11,1999,-14.56667,-48.69917
"aegopogon",5,12,1999,-15.066667,-50.166667
"aegopogon",23,12,1999,-15.948214,-47.878464
"aegopogon",22,1,1998,-15.9,-48
"aegopogon",14,3,1997,-14.58694,-60.84027
"aegopogon",7,7,1997,-13.738889,-48.299444
"aegopogon",6,12,1997,-14.702778,-47.509167
"aegopogon",6,12,1997,-14.0725,-47.509167
"aegopogon",NA,10,1996,-14.135278,-47.774722
"aegopogon",NA,11,1996,-14.404444,-48.416389
"aegopogon",23,11,1996,-18,-44
"aegopogon",20,12,1996,-15.583333,-47.883333
"aegopogon",9,1,1995,-15.83,-47.95
"aegopogon",9,1,1995,-15.833333,-47.95
"aegopogon",26,10,1995,-13.89472,-60.81277
"aegopogon",27,10,1995,-14.80305,-60.39277
"aegopogon",24,11,1995,-15.86667,-48.05
"aegopogon",24,11,1995,-15.866667,-48.05
"aegopogon",19,1,1994,-15.8,-47.96667
"aegopogon",12,1,1994,-20.267222,-46.415556
"aegopogon",19,1,1994,-15.8,-47.966667
"aegopogon",7,2,1994,-15.483935,-47.639318
"aegopogon",21,3,1994,-10.124444,-48.270556
"aegopogon",17,3,1994,-10.253611,-48.095833
"aegopogon",22,3,1994,-10.295833,-48.127778
"aegopogon",13,6,1994,-14.79833,-60.39277
"aegopogon",14,10,1994,-14.60694,-60.85638
"aegopogon",12,11,1994,-13.89861,-60.81277
"aegopogon",12,11,1994,-13.8986,-60.8128
"aegopogon",6,12,1994,-18,-44
"aegopogon",6,12,1994,-19.8694005837072,-47.4401506543322
"aegopogon",6,11,1993,-14.82333,-60.38611
"aegopogon",11,11,1993,-14.55833,-60.76138
"aegopogon",30,12,1993,-15.866667,-47.85
"aegopogon",9,3,1992,-13.466667,-48.383333
"aegopogon",8,7,1992,-14.633333,-48.966667
"aegopogon",9,1,1990,-15.965,-47.8986
"aegopogon",10,1,1990,-15.9519,-47.8936
"aegopogon",4,1,1990,-15.911111,-47.914167
"aegopogon",9,1,1990,-15.965,-47.898611
"aegopogon",10,1,1990,-15.951944,-47.893611
"aegopogon",13,11,1990,-15.75,-48.3
"aegopogon",14,12,1990,-15.883333,-47.933333
"aegopogon",8,2,1987,-13.733333,-47.25
"aegopogon",4,2,1987,-16.766667,-47.616667
"aegopogon",4,2,1987,-16.75,-47.616667
"aegopogon",4,2,1987,-16.77,-47.62
"aegopogon",7,12,1987,-15.8525,-48.9592
"aegopogon",13,11,1986,-16.7686,-47.6136
"aegopogon",15,2,1982,-15.566667,-48.033333
"aegopogon",NA,NA,1982,-16.016667,-48.2
"aegopogon",14,1,1981,-15.9236,-48.8086
"aegopogon",14,1,1981,-30,-52
"aegopogon",25,2,1981,-15.95,-47.9
"aegopogon",29,1,1980,-15.95,-47.933333
"aegopogon",NA,1,1980,-14.116667,-47.516667
"aegopogon",23,1,1979,-14,-47
"aegopogon",NA,1,1979,-14.116667,-47.516667
"aegopogon",27,12,1979,-15.7834208090807,-47.9298726661488
"aegopogon",11,4,1976,-15.866667,-47.85
"aegopogon",28,11,1976,-14.1361863978701,-47.5101417129434
"aegopogon",20,12,1974,-17.8,-48.75
"aegopogon",21,12,1974,-17.8,-48.75
"aegopogon",4,4,1973,-16.7686,-47.6136
"aegopogon",4,4,1973,-16.823742555015,-47.6704580401791
"aegopogon",16,1,1972,-15.8525,-48.9592
"aegopogon",15,1,1972,-15.8525,-48.9592
"aegopogon",21,1,1972,-14.4739,-48.4597
