name,lat,lon
Wide,16.611389,-88.459444
Wide,14.11555,-87.19472
Wide,13.883333,-86.933333
Wide,14.45333,-86.66888
Wide,15.88,-84.7
Wide,15.722778,-84.544167
Wide,13,-84.5
Wide,13.53333,-84.5
Wide,13.575583,-84.323778
Wide,13.55,-84.28333
Wide,13.53333,-84.23333
Wide,14.46666,-84.10833
Wide,14.71666,-84.1
Wide,14.71666,-84.03333
Wide,14.58333,-84.01666
Wide,14.54166,-83.99166
Wide,14.73333,-83.97083
Wide,14.61666,-83.91666
Wide,14.75,-83.88333
Wide,14.5,-83.833333
Wide,14.71666,-83.78333
Wide,11.983333,-83.766667
Wide,15.26666,-83.76666
Wide,14.39166,-83.69166
Wide,11.995,-83.68888
Wide,14.1,-83.583333
Wide,14.166667,-83.5
Wide,14.683333,-83.5
Wide,14.12694,-83.44166
Wide,14.75,-83.416667
Wide,14.08333,-83.41666
Wide,14.16666,-83.41666
Wide,14.03333,-83.38333
Wide,14.216667,-83.35
Wide,14.091667,-83.333333
Wide,9.170278,-79.420278
Wide,9.12055,-79.04611
Wide,-6.08333,-77.1
Wide,-7.31306,-76.62556
Wide,-0.516667,-76.4
Wide,8.581299,-75.182994
Wide,-9.1839,-74.14
Wide,8.30667,-73.61528
Wide,3.02875,-73.169333
Wide,-8.27,-72.78
Wide,2.507778,-72.641944
Wide,5.403044,-72.466003
Wide,2.775306,-72.292664
Wide,2.72753,-72.2925
Wide,2.666833,-72.179028
Wide,2.776389,-72.177778
Wide,2.8025,-72.095
Wide,6.37942,-71.93183
Wide,3.552611,-71.620611
Wide,4.120583,-71.529667
Wide,4.55,-71.333336
Wide,4.562832,-70.998972
Wide,-0.0425,-70.93972
Wide,0.047583,-70.937556
Wide,5.5,-70.475
Wide,4.75,-70.45
Wide,6.223806,-69.880056
Wide,6.269583,-69.680456
Wide,4.517778,-69.58
Wide,5.150162,-69.166722
Wide,5.3,-69.01666
Wide,5.787778,-68.86175
Wide,5.840278,-68.6675
Wide,5.564083,-68.47
Wide,4.9,-68.333336
Wide,5.852056,-68.181
Wide,5.8745,-68.138139
Wide,5.3,-68.01667
Wide,5.2968,-67.94158
Wide,5.25,-67.9
Wide,5.33917,-67.86889
Wide,5.195038,-67.833887
Wide,5.1,-67.8
Wide,5.23,-67.8
Wide,6.069944,-67.753972
Wide,5.15,-67.75
Wide,4.36,-67.73
Wide,4.91666,-67.71666
Wide,4.98333,-67.71666
Wide,6.088917,-67.710389
Wide,4.033333,-67.7
Wide,4.75,-67.67
Wide,5.35,-67.666667
Wide,-12.854361,-67.653361
Wide,-12.45,-67.62
Wide,5.66,-67.62
Wide,5.4,-67.61
Wide,4.9,-67.56666
Wide,5.37,-67.55
Wide,6.1015,-67.521944
Wide,6.183333,-67.48333
Wide,3.595833,-67.448333
Wide,4.81,-67.43
Wide,6.416667,-67.416667
Wide,5.85,-67.41666
Wide,5.64,-67.38
Wide,5.8,-67.33
Wide,-13.08,-67.25
Wide,3.956,-67.09
Wide,6.56666,-67.08333
Wide,3.75,-67.066667
Wide,3.887,-66.985
Wide,4.024,-66.977
Wide,4.058,-66.905
Wide,4.05,-66.82
Wide,3.75,-66.8
Wide,-12.78333,-66.56666
Wide,5.32,-66.28
Wide,5.68333,-66.15
Wide,5.61,-66.13
Wide,5.3,-66.03
Wide,7.0758,-65.9119
Wide,4.41,-65.83
Wide,3.41,-65.66
Wide,3.16,-65.55
Wide,-10.651944,-65.464722
Wide,-10.73333,-65.25
Wide,-9.653056,-65.171389
Wide,-4.14444,-65.08583
Wide,-9.622332,-64.940057
Wide,-9.4458,-64.7797
Wide,-7.2808,-64.7678
Wide,-0.583333,-64.666667
Wide,0.58333,-64.66666
Wide,-9.311667,-64.606111
Wide,4.81,-64.56
Wide,-16.7261,-64.435
Wide,-8.655556,-64.361389
Wide,-12.5,-64.13
Wide,-0.433333,-64
Wide,-0.366151,-63.936481
