"name","lat","lon"
"aspera",16.611389,-88.459444
"aspera",14.11555,-87.19472
"aspera",13.883333,-86.933333
"aspera",14.45333,-86.66888
"aspera",15.88,-84.7
"aspera",15.722778,-84.544167
"aspera",13,-84.5
"aspera",13.53333,-84.5
"aspera",13.575583,-84.323778
"aspera",13.55,-84.28333
"aspera",13.53333,-84.23333
"aspera",14.46666,-84.10833
"aspera",14.71666,-84.1
"aspera",14.71666,-84.03333
"aspera",14.58333,-84.01666
"aspera",14.54166,-83.99166
"aspera",14.73333,-83.97083
"aspera",14.61666,-83.91666
"aspera",14.75,-83.88333
"aspera",14.5,-83.833333
"aspera",14.71666,-83.78333
"aspera",11.983333,-83.766667
"aspera",15.26666,-83.76666
"aspera",14.39166,-83.69166
"aspera",11.995,-83.68888
"aspera",14.1,-83.583333
"aspera",14.166667,-83.5
"aspera",14.683333,-83.5
"aspera",14.12694,-83.44166
"aspera",14.75,-83.416667
"aspera",14.08333,-83.41666
"aspera",14.16666,-83.41666
"aspera",14.03333,-83.38333
"aspera",14.216667,-83.35
"aspera",14.091667,-83.333333
"aspera",9.170278,-79.420278
"aspera",9.12055,-79.04611
"aspera",-6.08333,-77.1
"aspera",-7.31306,-76.62556
"aspera",-0.516667,-76.4
"aspera",8.581299,-75.182994
"aspera",-9.1839,-74.14
"aspera",8.30667,-73.61528
"aspera",3.02875,-73.169333
"aspera",-8.27,-72.78
"aspera",2.507778,-72.641944
"spruceana",5.403044,-72.466003
"aspera",2.775306,-72.292664
"aspera",2.72753,-72.2925
"aspera",2.666833,-72.179028
"aspera",2.776389,-72.177778
"aspera",2.8025,-72.095
"aspera",6.37942,-71.93183
"aspera",3.552611,-71.620611
"aspera",4.120583,-71.529667
"aspera",4.55,-71.333336
"aspera",4.562832,-70.998972
"spruceana",-0.0425,-70.93972
"spruceana",0.047583,-70.937556
"aspera",5.5,-70.475
"aspera",4.75,-70.45
"aspera",6.223806,-69.880056
"aspera",6.269583,-69.680456
"aspera",4.517778,-69.58
"aspera",5.150162,-69.166722
"aspera",5.3,-69.01666
"spruceana",5.787778,-68.86175
"spruceana",5.840278,-68.6675
"spruceana",5.564083,-68.47
"aspera",4.9,-68.333336
"spruceana",5.852056,-68.181
"spruceana",5.8745,-68.138139
"aspera",5.3,-68.01667
"spruceana",5.2968,-67.94158
"spruceana",5.25,-67.9
"spruceana",5.33917,-67.86889
"spruceana",5.195038,-67.833887
"spruceana",5.1,-67.8
"spruceana",5.23,-67.8
"aspera",6.069944,-67.753972
"aspera",5.15,-67.75
"aspera",4.36,-67.73
"spruceana",4.91666,-67.71666
"spruceana",4.98333,-67.71666
"aspera",6.088917,-67.710389
"spruceana",4.033333,-67.7
"spruceana",4.75,-67.67
"aspera",5.35,-67.666667
"aspera",-12.854361,-67.653361
"aspera",-12.45,-67.62
"spruceana",5.66,-67.62
"aspera",5.4,-67.61
"spruceana",4.9,-67.56666
"aspera",5.37,-67.55
"aspera",6.1015,-67.521944
"spruceana",6.183333,-67.48333
"aspera",3.595833,-67.448333
"aspera",4.81,-67.43
"spruceana",6.416667,-67.416667
"aspera",5.85,-67.41666
"aspera",5.64,-67.38
"aspera",5.8,-67.33
"spruceana",-13.08,-67.25
"spruceana",3.956,-67.09
"spruceana",6.56666,-67.08333
"aspera",3.75,-67.066667
"spruceana",3.887,-66.985
"spruceana",4.024,-66.977
"spruceana",4.058,-66.905
"aspera",4.05,-66.82
"spruceana",3.75,-66.8
"aspera",-12.78333,-66.56666
"aspera",5.32,-66.28
"spruceana",5.68333,-66.15
"aspera",5.61,-66.13
"spruceana",5.3,-66.03
"spruceana",7.0758,-65.9119
"aspera",4.41,-65.83
"aspera",3.41,-65.66
"spruceana",3.16,-65.55
"spruceana",-10.651944,-65.464722
"aspera",-10.73333,-65.25
"aspera",-9.653056,-65.171389
"spruceana",-4.14444,-65.08583
"aspera",-9.622332,-64.940057
"aspera",-9.4458,-64.7797
"aspera",-7.2808,-64.7678
"spruceana",-0.583333,-64.666667
"spruceana",0.58333,-64.66666
"aspera",-9.311667,-64.606111
"spruceana",4.81,-64.56
"aspera",-16.7261,-64.435
"aspera",-8.655556,-64.361389
"spruceana",-12.5,-64.13
"aspera",-0.433333,-64
"spruceana",-0.366151,-63.936481
"aspera",7.46666,-63.23333
"aspera",7.11,-63.23
"aspera",-7.7997,-63.1692
"aspera",-7.516667,-63.166667
"aspera",-0.5,-63.166667
"aspera",-8,-63
"aspera",-5,-63
