"name","lat","lon"
"aspera",13.53333,-84.23333
"aspera",14.75,-83.88333
"aspera",11.983333,-83.766667
"aspera",14.01666,-83.4
"aspera",9.170278,-79.420278
"aspera",9.12055,-79.04611
"aspera",-8.27,-72.78
"aspera",4.55,-71.33333
"aspera",5.3,-69.01666
"aspera",4.9,-68.33333
"spruceana",5.25,-67.9
"spruceana",5.1,-67.8
"aspera",5.15,-67.75
"aspera",4.36,-67.73
"spruceana",4.91666,-67.71666
"spruceana",4.98333,-67.71666
"aspera",5.35,-67.666667
"spruceana",5.65,-67.63
"aspera",-12.45,-67.616667
"aspera",5.4,-67.61
"aspera",5.36666,-67.55
"aspera",4.81,-67.43
"aspera",5.85,-67.41666
"spruceana",6.41666,-67.41666
"aspera",5.8,-67.33
"aspera",4.05,-66.81
"spruceana",3.75,-66.8
"aspera",5.31,-66.28
"spruceana",5.68333,-66.15
"aspera",5.61,-66.13
"spruceana",5.3,-66.03
"aspera",4.41,-65.83
"aspera",3.41,-65.66
"spruceana",3.16,-65.55
"spruceana",-10.651944,-65.464722
"aspera",-10.73333,-65.25
"aspera",-9.4458,-64.7797
"spruceana",-0.583333,-64.666667
"spruceana",0.58333,-64.66666
"spruceana",4.81,-64.56
"aspera",7.46666,-63.23333
"aspera",7.11,-63.23
"aspera",-7.516667,-63.166667
"aspera",9.266667,-62.933333
"aspera",9.13333,-62.83333
"aspera",7.35,-62.71
"aspera",8.81666,-62.45
"aspera",4.36,-61.75
"aspera",4.31666,-61.73333
"aspera",4.5,-61.58333
"aspera",4.66666,-61.55
"aspera",4.5,-61.5
"aspera",-3.391944,-61.442222
"aspera",5,-61.16666
"aspera",-4.4922,-61.1642
"aspera",5.316667,-61.05
"aspera",4.98,-60.61
"aspera",1.3,-60.58333
"aspera",-3.03,-60.58
"aspera",4.1642,-60.58
"aspera",-2.666667,-60.333333
"aspera",0.424722,-60.187222
"aspera",2.42,-60.18
"aspera",-4.596111,-60.158056
"aspera",4.81667,-60.0167
"aspera",3.38,-59.78
"aspera",3.43333,-59.76666
"aspera",3.1,-59.4
"aspera",3.88,-58.91
"aspera",1.65,-58.63333
"aspera",6.5,-58.1667
"aspera",5.36666,-58.11666
"aspera",5.55,-57.66666
"aspera",5.6,-57.58
"aspera",5.71666,-57.53333
"aspera",-7.5,-57.25
"aspera",0.333333,-56.816667
"aspera",3.33,-56.81
"aspera",-2.17505641973007,-56.7457052359991
"aspera",3.16666,-56.48333
"aspera",3.1,-56.46
"aspera",-0.98333,-54.98333
"aspera",5.53,-54.8
"aspera",2.88,-54.06
"spruceana",-11.8311,-53.4231
"aspera",3.61,-53.2
"aspera",-1.083333,-53.17
"aspera",5.41,-53.06
"aspera",4.78,-52.35
"aspera",3.61,-52.31
"aspera",4.2,-51.65
"aspera",0.73,-51.37
"aspera",-0.5767,-51.1758
"aspera",-0.03,-51.08
"spruceana",-16.166667,-49.433333
"aspera",-2.424906,-48.42
"aspera",-0.8583,-48.1417
"aspera",-1.03515,-48.125749
"aspera",-2.93778648539846,-44.2352209866645
"aspera",-5.026461,-42.420771
"aspera",-4.083333,-41.733333
