"name","latitude","longitude","Tasp_mod_extract"
"aspera",3.43333,-59.76666,85
"aspera",6.5,-58.16666,20
"aspera",4.81667,-60.0167,655
"aspera",4.36,-67.73,109
"aspera",5.4,-67.61,151
"aspera",5.41,-53.06,15
"aspera",5.36666,-58.11666,47
"aspera",1.65,-58.63333,242
"aspera",7.11,-63.23,284
"aspera",5.15,-67.75,88
"aspera",5.55,-57.66666,32
"aspera",5.31666,-61.05,1010
"aspera",5,-61.16666,930
"aspera",3.88,-58.91,81
"aspera",-12.45,-67.616667,181
"aspera",4.1642,-60.58,113
"aspera",3.61,-53.2,232
"aspera",4.66666,-61.55,961
"aspera",5.71666,-57.53333,18
"aspera",3.1,-59.4,397
"aspera",5.3,-69.01666,90
"aspera",4.5,-61.58333,862
"aspera",4.5,-61.5,984
"aspera",4.2,-51.65,24
"aspera",4.81,-67.43,109
"aspera",4.36,-61.75,570
"aspera",4.31666,-61.73333,497
"aspera",7.35,-62.71,274
"aspera",14.01666,-83.4,6
"aspera",13.53333,-84.23333,27
"aspera",11.983333,-83.766667,10
"aspera",7.46666,-63.23333,389
"aspera",5.36666,-67.55,181
"aspera",5.61,-66.13,172
"aspera",5.31,-66.28,535
"aspera",4.78,-52.35,17
"aspera",5.85,-67.41666,90
"aspera",4.05,-66.81,103
"aspera",5.8,-67.33,120
"aspera",9.13333,-62.83333,19
"aspera",5.35,-67.666667,111
"aspera",9.266667,-62.933333,29
"aspera",9.170278,-79.420278,472
"aspera",9.12055,-79.04611,10
"aspera",5.53,-54.8,18
"aspera",14.75,-83.88333,59
"aspera",0.424722,-60.187222,123
"aspera",3.41,-65.66,1619
"aspera",3.61,-52.31,137
"aspera",3.33,-56.81,236
"aspera",3.16666,-56.48333,294
"aspera",3.1,-56.46,244
"aspera",0.73,-51.37,81
"aspera",3.38,-59.78,88
"aspera",4.98,-60.61,1293
"aspera",4.41,-65.83,223
"aspera",-0.98333,-54.98333,321
"aspera",-2.9344,-44.235,10
"aspera",-2.666667,-60.333333,31
"aspera",-9.4458,-64.7797,106
"aspera",-0.5767,-51.1758,20
"aspera",-1.05,-48.116667,34
"aspera",-1.083333,-53.166667,147
"aspera",-8.6,-61.416667,135
"aspera",2.81972,-60.6733,79
"aspera",-2.00306,-49.8544,11
"aspera",2.883333,-54.066667,189
"aspera",-2.17139,-56.745,6
"aspera",-4.596111,-60.158056,43
"aspera",-4.858890057,-43.35609818,85
"aspera",-8.761940002,-63.90390015,81
"aspera",-4.756390095,-42.57559967,134
"aspera",-4.585830212,-42.86420059,64
"aspera",-0.366667002,-51.06639862,20
"aspera",-0.8583,-48.1417,11
"aspera",-5.038060188,-42.45999908,192
"aspera",-4.05,-41.44,148
"aspera",3.26,-59.46,772
"aspera",4.6,-66.24,118
"aspera",-0.033333333,-51.08333333,12
"aspera",-0.733333333,-51.36666667,12
"aspera",2.416666667,-60.18333333,149
"aspera",1.3,-60.58333333,77
"aspera",-7.5,-57.25,335
"aspera",4.55,-71.33333333,170
"aspera",4.9,-68.33333333,100
"aspera",-3.391944444,-61.44222222,40
"aspera",-7.516666667,-63.16666667,71
"aspera",-9.6530556,-65.17139,112
"aspera",-4.4922,-61.1642,48
"aspera",-15.0081,-59.9506,199
"aspera",1.02597,-61.14588,45
"aspera",-3.33825,-61.404056,45
"aspera",-4.7833,-52.433,199
"aspera",8.8167,-62.45,24
"aspera",-8.267,-72.7833,218
"aspera",-3.033,-60.5833,14
"aspera",15.8833,-84.7,1
"aspera",-10.733,-65.25,182
"aspera",6.5,-58.383,53
"aspera",5.6,-57.583,17
"aspera",-1.479,-60.9689,69
