"name","latitude","longitude","Tmelastomoides_extract","Tmel_mod_extract"
"melastomoides",-7.357222,-48.372222,230,230
"melastomoides",-10.77305556,-53.08972222,271,271
"melastomoides",-13.86327,-47.5,747,747
"melastomoides",-14.35,-48.2,470,470
"melastomoides",-14.45,-49.08333,512,512
"melastomoides",-13.662222,-48.268055,741,741
"melastomoides",-14.63333,-48.96667,469,469
"melastomoides",-13.71889,-48.29944,854,854
"melastomoides",-12.348,-46.338,783,783
"melastomoides",-13.3775,-48.050278,393,393
"melastomoides",-15.16030025,-48.28390121,649,649
"melastomoides",-13.53310013,-48.22000122,394,394
"melastomoides",-14.235278,-47.905833,654,654
"melastomoides",-15.85249996,-48.95920181,782,782
"melastomoides",-10.55,-46.75,413,413
"melastomoides",-15.77970028,-47.92969894,1127,1127
"melastomoides",-15.798889,-48.818611,1178,1178
"melastomoides",-14.161111,-47.790833,1100,1100
"melastomoides",-10.283333,-48.216667,427,427
"melastomoides",-13.79749966,-47.45830154,806,806
"melastomoides",-13.966667,-48.3,443,443
"melastomoides",-14.13249969,-47.50999832,1240,1240
"melastomoides",-14.1108,-47.3737,1092,1092
"melastomoides",-15.841099,-48.746796,1151,1151
"melastomoides",-14.071511,-47.391086,815,815
"melastomoides",-15.32,-47.33,694,694
"melastomoides",-15.79440022,-48.7757988,1126,1126
"melastomoides",-13.56666667,-48.16666667,406,406
"melastomoides",-15.55,-48.25,1273,1273
"melastomoides",-14.31666667,-48.4,939,939
"melastomoides",-13.22388889,-48.03,588,588
"melastomoides",-11.43333333,-47.56666667,514,514
"melastomoides",-14.48861111,-48.55722222,595,595
"melastomoides",-15.7606,-48.9189,NA,1101
"melastomoides",-14.2264,-47.73,NA,1150
"melastomoides",-14.1797,-47.8422,NA,858
"melastomoides",-14.1283,-47.672,NA,1248
