name,latitude,longitude
angustifolia,-14.67329979,-52.35309982
angustifolia,-14.09527778,-47.49277778
angustifolia,-13.95833333,-47.35777778
angustifolia,-13.92888889,-47.43
angustifolia,-13.89083333,-47.51666667
angustifolia,-13.80027778,-47.51666667
angustifolia,-13.7975,-47.45805556
angustifolia,-13.73333333,-47.25
angustifolia,-12.942,-46.934
angustifolia,-11.69421,-47.70079
angustifolia,-9.583333333,-54.91666667
angustifolia,-14.09525,-47.492802
angustifolia,-13.9833,-60.7167
angustifolia,-13.9281,-47.4325
angustifolia,-13.93,-47.4331
angustifolia,-13.9308,-47.4322
angustifolia,-13.7975,-47.4581
angustifolia,-13.9584,-47.3578
angustifolia,-13.8907,-47.5167
angustifolia,-13.8633,-47.5
angustifolia,-13.8004,-47.5167
angustifolia,-13.9283,-47.4325
angustifolia,-13.93,-47.433
