"name","latitude","longitude"
"aegopogon",-17.56940079,-52.55110168
"aegopogon",-15.89000034,-52.25669861
"aegopogon",-16.1267,-50.215
"aegopogon",-15.066667,-50.166667
"aegopogon",-16.0611,-50.00122
"aegopogon",-14,-50
"aegopogon",-16,-49
"aegopogon",-15.85249996,-48.95920181
"aegopogon",-16.32670021,-48.95280075
"aegopogon",-15.824722,-48.906667
"aegopogon",-15.85,-48.85664
"aegopogon",-16.03204,-48.8086
"aegopogon",-15.9236,-48.8086
"aegopogon",-15.7944,-48.7756
"aegopogon",-17.8,-48.75
"aegopogon",-14.56667,-48.69917
"aegopogon",-17.74169922,-48.625
"aegopogon",-8.93,-48.52
"aegopogon",-14.4739,-48.4597
"aegopogon",-14.58557,-48.45
"aegopogon",-14.5223,-48.45
"aegopogon",-14.404444,-48.416389
"aegopogon",-13.4666666666667,-48.3833333333333
"aegopogon",-18.611389,-48.304722
"aegopogon",-15.75,-48.3
"aegopogon",-10.124444,-48.270556
"aegopogon",-18.3641666666667,-48.1816666666667
"aegopogon",-15.566667,-48.033333
"aegopogon",-17,-48
"aegopogon",-16,-48
"aegopogon",-15.9,-48
"aegopogon",-15.8,-47.96667
"aegopogon",-16.25250053,-47.95029831
"aegopogon",-15.77970028,-47.92969894
"aegopogon",-15.911111,-47.914167
"aegopogon",-15.965,-47.898611
"aegopogon",-15.583333,-47.883333
"aegopogon",-15.866667,-47.85
"aegopogon",-15.8,-47.82397
"aegopogon",-17.422833,-47.795583
"aegopogon",-17.63310051,-47.77830124
"aegopogon",-17.99421,-47.76956
"aegopogon",-14.2194444444444,-47.7372222222222
"aegopogon",-14.1167,-47.70192
"aegopogon",-11.6941666666667,-47.7008333333333
"aegopogon",-16.745944,-47.694667
"aegopogon",-15.73555,-47.6874
"aegopogon",-16.82,-47.67
"aegopogon",-15.4527998,-47.61420059
"aegopogon",-16.7686,-47.6136
"aegopogon",-11.22333,-47.566111
"aegopogon",-13.94497,-47.5167
"aegopogon",-13.74613,-47.5167
"aegopogon",-14.13249969,-47.50999832
"aegopogon",-14.072694,-47.509333
"aegopogon",-20.25,-47.47000122
"aegopogon",-19.86529922,-47.43999863
"aegopogon",-13.9294444444444,-47.4302777777778
"aegopogon",-16.4758333333333,-47.3405555555556
"aegopogon",-18.066944,-47.272222
"aegopogon",-13.733333,-47.25
"aegopogon",-18.04,-47.1619444444444
"aegopogon",-17.05385,-47.1541
"aegopogon",-14,-47
"aegopogon",-11,-47
"aegopogon",-17.22220039,-46.87469864
"aegopogon",-20.34390068,-46.85390091
"aegopogon",-20.335,-46.812778
"aegopogon",-20.3425,-46.767222
"aegopogon",-20.434444,-46.653333
"aegopogon",-20.2033333333333,-46.4602777777778
"aegopogon",-19.6827777777778,-46.445
"aegopogon",-20.2602777777778,-46.3872222222222
"aegopogon",-14.0931,-46.3694
"aegopogon",-20.61529922,-46.04999924
"aegopogon",-14,-46
"aegopogon",-19.690239,-44.096503
