name,latitude,longitude
albescens,-13.56694444,-48.08472222
albescens,-14.18972222,-47.77444444
albescens,-14.14305556,-47.70305556
albescens,-14.1167,-47.65562
albescens,-14.38,-47.53
albescens,-14.13249969,-47.50999832
albescens,-13.766667,-47.5
albescens,-14.0755,-47.4754
albescens,-14.13333333,-47.45
albescens,-14.071511,-47.391086
albescens,-13.81255,-47.2647
albescens,-14,-47
albescens,-12.9314003,-46.93830109
albescens,-13.566944,-45.084722
albescens,-13.34,-45.05055556
albescens,-14.1714,-47.5214
albescens,-14.297,-47.8386
albescens,-14.1431,-47.7031
albescens,-14.1897,-47.774
albescens,-14.1714,-47.5208
albescens,-14.1714,-47.5211
