name,latitude,longitude
aspera,3.43333,-59.76666
aspera,6.5,-58.16666
aspera,4.81667,-60.0167
aspera,4.36,-67.73
aspera,5.4,-67.61
aspera,5.41,-53.06
aspera,5.36666,-58.11666
aspera,1.65,-58.63333
aspera,7.11,-63.23
aspera,5.15,-67.75
aspera,5.55,-57.66666
aspera,5.31666,-61.05
aspera,5,-61.16666
aspera,3.88,-58.91
aspera,5.6,-57.58
aspera,-12.45,-67.616667
aspera,4.1642,-60.58
aspera,3.61,-53.2
aspera,4.66666,-61.55
aspera,5.71666,-57.53333
aspera,3.1,-59.4
aspera,5.3,-69.01666
aspera,4.5,-61.58333
aspera,4.5,-61.5
aspera,4.2,-51.65
aspera,4.81,-67.43
aspera,4.36,-61.75
aspera,4.31666,-61.73333
aspera,7.35,-62.71
aspera,14.01666,-83.4
aspera,13.53333,-84.23333
aspera,11.983333,-83.766667
aspera,7.46666,-63.23333
aspera,5.36666,-67.55
aspera,5.61,-66.13
aspera,5.31,-66.28
aspera,4.78,-52.35
aspera,5.85,-67.41666
aspera,4.05,-66.81
aspera,5.8,-67.33
aspera,9.13333,-62.83333
aspera,5.35,-67.666667
aspera,9.266667,-62.933333
aspera,9.170278,-79.420278
aspera,8.81666,-62.45
aspera,9.12055,-79.04611
aspera,5.53,-54.8
aspera,14.75,-83.88333
aspera,0.424722,-60.187222
aspera,3.41,-65.66
aspera,3.61,-52.31
aspera,3.33,-56.81
aspera,3.16666,-56.48333
aspera,3.1,-56.46
aspera,0.73,-51.37
aspera,3.38,-59.78
aspera,4.98,-60.61
aspera,4.41,-65.83
aspera,-0.98333,-54.98333
aspera,-2.9344,-44.235
aspera,-3.03,-60.58
aspera,-10.73,-65.25
aspera,-2.666667,-60.333333
aspera,-9.4458,-64.7797
aspera,-0.5767,-51.1758
aspera,-1.05,-48.116667
aspera,-1.083333,-53.166667
aspera,-8.266667,-72.783333
aspera,-8.6,-61.416667
aspera,2.81972,-60.6733
aspera,-2.00306,-49.8544
aspera,2.883333,-54.066667
aspera,-2.17139,-56.745
aspera,-4.596111,-60.158056
aspera,-4.858890057,-43.35609818
aspera,-8.761940002,-63.90390015
aspera,-4.756390095,-42.57559967
aspera,-4.585830212,-42.86420059
aspera,-0.366667002,-51.06639862
aspera,-0.8583,-48.1417
aspera,-5.038060188,-42.45999908
aspera,-4.05,-41.44
aspera,3.26,-59.46
aspera,4.6,-66.24
aspera,-0.033333333,-51.08333333
aspera,-0.733333333,-51.36666667
aspera,2.416666667,-60.18333333
aspera,1.3,-60.58333333
aspera,-7.5,-57.25
aspera,4.55,-71.33333333
aspera,4.9,-68.33333333
aspera,-3.391944444,-61.44222222
aspera,-7.516666667,-63.16666667
aspera,-4.492222222,-61.16416667
aspera,-9.6530556,-65.17139
aspera,-4.4922,-61.1642
aspera,-15.0081,-59.9506
aspera,1.02597,-61.14588
aspera,-3.33825,-61.404056
aspera,-4.7833,-52.433
aspera,8.8167,-62.45
aspera,-8.267,-72.7833
aspera,-3.033,-60.5833
aspera,15.8833,-84.7
aspera,-10.733,-65.25
aspera,6.5,-58.383
aspera,5.6,-57.583
aspera,-1.479,-60.9689
