name,latitude,longitude,Tfraterna_extract
fraterna,2.58333,-59.3667,151
fraterna,5.46667,-60.0667,742
fraterna,5.85,-62.03,1565
fraterna,3.63333,-65.46666,1745
fraterna,3.25,-65.71666,170
fraterna,5.66666,-61.5,1274
fraterna,5.833333,-62.683333,742
fraterna,5.933333,-62.566667,1581
fraterna,3.6,-65.38,2033
fraterna,3.83,-65.33,901
fraterna,5.08,-61.11,878
fraterna,5.91,-61,1055
fraterna,5.95,-60.63,651
fraterna,3.16,-65.51,127
fraterna,5.93,-61.4,1401
fraterna,5.05,-61.36,1192
fraterna,5.91,-62.53,1280
fraterna,5.9,-61.03,
fraterna,5.467,-60.067,
