name,latitude,longitude,Tverticillaris_extract
verticillaris,-18.03476,-43.3833,820
verticillaris,-17.84727,-47.61584,805
verticillaris,-17.74169922,-48.625,717
verticillaris,-17.716667,-48.366667,784
verticillaris,-17.366667,-52.166667,820
verticillaris,-16.15922,-50.1333,670
verticillaris,-16.0821991,-48.50719833,1051
verticillaris,-16.03583333,-50.10416667,724
verticillaris,-16,-50.133333,551
verticillaris,-15.91666667,-50.15,514
verticillaris,-15.85,-48.75395,1051
verticillaris,-15.85,-52.25,519
verticillaris,-15.8106,-54.9178,320
verticillaris,-15.8,-48.77,1126
verticillaris,-15.030833,-56.362222,259
verticillaris,-14.733333,-52.333333,299
verticillaris,-14.666667,-52.35,289
verticillaris,-14.568,-49.51,405
verticillaris,-14.54942,-48.45,719
verticillaris,-14.4739,-48.4597,633
verticillaris,-14.396,-46.572917,530
verticillaris,-14.15139961,-48.07830048,594
verticillaris,-14.116667,-47.516667,1319
verticillaris,-13.96667,-48.3,443
verticillaris,-13.81667,-48.43333,501
verticillaris,-13.65,-48.41666667,574
verticillaris,-13.5425,-48.00055556,403
verticillaris,-13.46667,-48.38333,453
verticillaris,-13.45,-47.23,461
verticillaris,-13.417222,-47.080278,398
verticillaris,-13.27,-47.22,784
verticillaris,-12.9,-51.86666667,365
verticillaris,-12.85,-49.1,298
verticillaris,-12.816667,-51.766667,332
verticillaris,-12.31666667,-51.76666667,325
verticillaris,-11.698,-51.428,255
verticillaris,-11.6172,-50.6694,199
verticillaris,-11.575,-50.977,195
verticillaris,-11.55000019,-41.15610123,996
verticillaris,-11.34305556,-50.58361111,189
verticillaris,-10.91694444,-49.63055556,184
verticillaris,-10.773109,-53.08982,271
verticillaris,-10.253611,-48.095833,632
verticillaris,-10.166667,-48.883333,364
verticillaris,-9.69,-52.606,270
verticillaris,-8.93,-48.52,304
verticillaris,-8.807778,-49.082778,226
verticillaris,-8.5006,-48.6008,460
verticillaris,-7.583333,-46.083333,264
verticillaris,-6.816667,-47.816667,387
verticillaris,-6.616666667,-45.88333333,474
verticillaris,-6.370830059,-44.36309814,202
verticillaris,-3.416667,-48.616667,108
