"specificEpithet","day","month","year","latitude","longitude"
"aegopogon",19,1,2015,-19.682778,-46.445
"aegopogon",5,3,2015,-11.22333,-47.566111
"aegopogon",6,3,2015,-11.69421,-47.70079
"aegopogon",5,3,2015,-11,-47
"aegopogon",17,1,2012,-15.930833,-47.901944
"aegopogon",21,3,2012,-14.219444,-47.737222
"aegopogon",24,3,2012,-13.9295,-47.4305
"aegopogon",17,3,2012,-16.475753,-47.340471
"aegopogon",24,3,2012,-13.929444,-47.430278
"aegopogon",8,4,2010,-18.611389,-48.304722
"aegopogon",18,1,2005,-15.824722,-48.906667
"aegopogon",5,4,2004,-14.072694,-47.509333
"aegopogon",20,2,2003,-18.066944,-47.272222
"aegopogon",29,11,2003,-20.434444,-46.653333
"aegopogon",20,1,2002,-17.422833,-47.795583
"aegopogon",5,12,2002,-20.434444,-46.653333
"aegopogon",6,12,2002,-20.3425,-46.767222
"aegopogon",5,12,2002,-20.335,-46.812778
"aegopogon",20,3,2000,-16.745944,-47.694667
"aegopogon",5,12,1999,-15.066667,-50.166667
"aegopogon",NA,11,1996,-14.404444,-48.416389
"aegopogon",20,12,1996,-15.583333,-47.883333
"aegopogon",12,1,1994,-20.267222,-46.415556
"aegopogon",21,3,1994,-10.124444,-48.270556
"aegopogon",6,12,1994,-19.8694005837072,-47.4401506543322
"aegopogon",6,11,1993,-14.82333,-60.38611
"aegopogon",9,3,1992,-13.466667,-48.383333
"aegopogon",10,1,1990,-15.951944,-47.893611
"aegopogon",9,1,1990,-15.965,-47.898611
"aegopogon",4,1,1990,-15.911111,-47.914167
"aegopogon",8,2,1987,-13.733333,-47.25
"aegopogon",4,2,1987,-16.766667,-47.616667
"aegopogon",7,12,1987,-15.8525,-48.9592
"aegopogon",13,11,1986,-16.7686,-47.6136
"aegopogon",15,2,1982,-15.566667,-48.033333
"aegopogon",14,1,1981,-15.9236,-48.8086
"aegopogon",NA,1,1980,-14.116667,-47.516667
"aegopogon",NA,1,1979,-14.116667,-47.516667
"aegopogon",23,1,1979,-14,-47
"aegopogon",27,12,1979,-15.7834208090807,-47.9298726661488
"aegopogon",11,4,1976,-15.866667,-47.85
"aegopogon",28,11,1976,-14.1361863978701,-47.5101417129434
"aegopogon",21,12,1974,-17.8,-48.75
"aegopogon",4,4,1973,-16.823742555015,-47.6704580401791
"aegopogon",4,4,1973,-16.7686,-47.6136
"aegopogon",16,1,1972,-15.8525,-48.9592
"aegopogon",15,1,1972,-15.85,-48.85664
"aegopogon",21,1,1972,-14.4739,-48.4597
"aegopogon",23,1,1972,-14.5223,-48.45
"aegopogon",23,1,1972,-14.4739,-48.4597
"aegopogon",17,1,1972,-15.7981191657884,-48.7761282105302
"aegopogon",21,1,1972,-14.58557,-48.45
"aegopogon",15,1,1972,-15.8525,-48.9592
"aegopogon",20,3,1971,-14.116667,-47.516667
"aegopogon",20,3,1971,-13.94497,-47.5167
"aegopogon",23,1,1970,-17.99421,-47.76956
"aegopogon",25,2,1970,-15.73555,-47.6874
"aegopogon",8,2,1970,-17.05385,-47.1541
"aegopogon",5,2,1970,-17.22555,-46.8727
"aegopogon",17,3,1969,-13.74613,-47.5167
"aegopogon",15,1,1968,-15.9236,-48.8086
"aegopogon",15,1,1968,-15.8,-48.77
"aegopogon",28,1,1968,-15.88,-48.95
"aegopogon",18,3,1968,-8.93,-48.52
"aegopogon",2,12,1968,-16,-49
"aegopogon",NA,NA,1968,-15.8525,-48.9592
"aegopogon",NA,NA,1968,-16.7686,-47.6136
"aegopogon",2,2,1967,-16.7686,-47.6136
"aegopogon",19,1,1966,-16.0611,-50.00122
"aegopogon",19,1,1966,-14,-50
"aegopogon",9,2,1966,-14.1167,-47.70192
