"specificEpithet","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aegopogon",19,1,2015,-19.682778,-46.445,"RB01035450","JBRJ","gbif"
"aegopogon",5,3,2015,-11.22333,-47.566111,"82564","UFPR","gbif"
"aegopogon",6,3,2015,-11.69421,-47.70079,"82592","UFPR","gbif"
"aegopogon",5,3,2015,-11,-47,"RB00977028","JBRJ","gbif"
"aegopogon",17,1,2012,-15.930833,-47.901944,"197962","UnB","gbif"
"aegopogon",21,3,2012,-14.219444,-47.737222,"RB00695513","JBRJ","gbif"
"aegopogon",24,3,2012,-13.9295,-47.4305,"208876","USP","gbif"
"aegopogon",17,3,2012,-16.475753,-47.340471,"188217","UNICAMP","gbif"
"aegopogon",24,3,2012,-13.929444,-47.430278,"RB00736109","JBRJ","gbif"
"aegopogon",17,3,2012,-16.475753,-47.340471,"90064","UFPR","gbif"
"aegopogon",8,4,2010,-18.611389,-48.304722,"58936","UFU","gbif"
"aegopogon",18,1,2005,-15.824722,-48.906667,"ESA089596","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","gbif"
"aegopogon",5,4,2004,-14.072694,-47.509333,"91980","UnB","gbif"
"aegopogon",20,2,2003,-18.066944,-47.272222,"40020","UFU","gbif"
"aegopogon",29,11,2003,-20.434444,-46.653333,"183751","USP","gbif"
"aegopogon",20,1,2002,-17.422833,-47.795583,"152741","USP","gbif"
"aegopogon",5,12,2002,-20.434444,-46.653333,"29533","UFU","gbif"
"aegopogon",6,12,2002,-20.3425,-46.767222,"29730","UFU","gbif"
"aegopogon",5,12,2002,-20.335,-46.812778,"29593","UFU","gbif"
"aegopogon",20,3,2000,-16.745944,-47.694667,"106994","UnB","gbif"
"aegopogon",5,12,1999,-15.066667,-50.166667,"109944","UEFS","gbif"
"aegopogon",5,12,1999,-15.066667,-50.166667,"10743","UnB","gbif"
"aegopogon",NA,11,1996,-14.404444,-48.416389,"100457","UnB","gbif"
"aegopogon",20,12,1996,-15.583333,-47.883333,"7098","UnB","gbif"
"aegopogon",12,1,1994,-20.267222,-46.415556,"92543","USP","gbif"
