"specificEpithet","scientificName","day","month","year","latitude","longitude"
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,3,2012,-14.071511,-47.391086
"albescens","Tibouchina albescens Cogn. ex Glaz.",10,2,2006,-15.85,-52.267
"albescens","Tibouchina albescens Cogn. ex Glaz.",13,12,2000,-13.566944,-45.084722
"albescens","Tibouchina albescens Cogn. ex Glaz.",14,3,1995,-14.133333,-47.45
"albescens","Tibouchina albescens Cogn. ex Glaz.",22,9,1995,-14.55,-60.916667
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,5,1994,-13.766667,-47.5
"albescens","Tibouchina albescens Cogn. ex Glaz.",30,10,1993,-14.58194,-60.84111
"albescens","Tibouchina albescens Cogn. ex Glaz.",8,2,1981,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",7,2,1981,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,1,1980,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",14,2,1979,-14.116667,-47.5
"albescens","Tibouchina albescens Cogn. ex Glaz.",3,2,1979,-14,-47
"albescens","Tibouchina albescens Cogn. ex Glaz.",3,2,1979,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",5,2,1979,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",6,3,1973,-14.104,-47.4658
"albescens","Tibouchina albescens Cogn. ex Glaz.",5,3,1973,-14.1103,-47.5103
"albescens","Tibouchina albescens Cogn. ex Glaz.",18,3,1973,-13.8162297263192,-47.2651251433805
"albescens","Tibouchina albescens Cogn. ex Glaz.",7,3,1973,-14.0755,-47.4754
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,3,1969,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,3,1969,-14.1167,-47.5167
"albescens","Tibouchina albescens Cogn. ex Glaz.",23,3,1968,-14.38,-47.53
"albescens","Tibouchina albescens Cogn. ex Glaz.",13,2,1966,-14,-47
"albescens","Tibouchina albescens Cogn. ex Glaz.",13,2,1966,-14.1167,-47.52596
"albescens","Tibouchina albescens Cogn. ex Glaz.",8,2,1966,-14.1167,-47.65562
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-14.13333,-47.45
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-14.116667,-47.516667
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-13.56694,-48.08472
"albescens","Tibouchina albescens",5,3,1973,-14.1103,-47.5103
"albescens","Tibouchina albescens",6,3,1973,-14.104,-47.4658
"albescens","Tibouchina albescens",7,3,1973,-14.0755,-47.4754
"albescens","Tibouchina albescens",18,3,1973,-13.81255,-47.2647
"albescens","Tibouchina albescens",13,2,1966,-14.1167,-47.52596
"albescens","Tibouchina albescens",23,3,1968,-14.38,-47.53
"albescens","Tibouchina albescens",21,3,1969,-14.1167,-47.5167
"albescens","Tibouchina albescens",8,2,1966,-14.1167,-47.65562
"albescens","Tibouchina albescens",NA,NA,NA,-14.13333,-47.45
"albescens","Tibouchina albescens",NA,NA,NA,-13.56694,-48.08472
"albescens","Tibouchina albescens",10,2,2006,-15.85,-52.267
"albescens","Tibouchina albescens",13,12,2000,-13.566944,-45.084722
"albescens","Tibouchina albescens",21,3,1969,-14.116667,-47.516667
"albescens","Tibouchina albescens",NA,1,1980,-14.116667,-47.516667
"albescens","Tibouchina albescens",7,2,1981,-14.116667,-47.516667
"albescens","Tibouchina albescens",8,2,1981,-14.116667,-47.516667
"albescens","Tibouchina albescens",5,2,1979,-14.116667,-47.516667
"albescens","Tibouchina albescens",NA,NA,NA,-14.116667,-47.516667
"albescens","Tibouchina albescens",14,3,1995,-14.133333,-47.45
"albescens","Tibouchina albescens",14,2,1979,-14.116667,-47.5
"albescens","Tibouchina albescens",3,2,1979,-14.116667,-47.516667
"albescens","Tibouchina albescens",13,2,1966,-14,-47
"albescens","Tibouchina albescens",21,5,1994,-13.766667,-47.5
"albescens","Tibouchina albescens",1,2,1999,-14.13249969,-47.50999832
"albescens","Tibouchina albescens",3,2,1979,-14,-47
"albescens","Tibouchina albescens",20,2,1991,-14.13249969,-47.50999832
"albescens","Tibouchina albescens",21,3,2012,-14.071511,-47.391086
"albescens","Tibouchina albescens",15,2,1990,-12.9314003,-46.93830109
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex Glaz.",10,2,2006,-15.85,-52.2669444444444
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex Glaz.",13,12,2000,-13.34,-45.0505555555556
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",14,3,1995,-14.1333333333333,-47.45
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",21,3,2012,-14.1430555555556,-47.7030555555556
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",21,3,2012,-14.1897222222222,-47.7744444444444
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",13,12,2000,-13.5669444444444,-48.0847222222222
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",14,2,1966,-14,-47
