"specificEpithet","scientificName","day","month","year","latitude","longitude"
"aspera","Tibouchina aspera Aubl.",9,11,2014,-4.596111,-60.158056
"aspera","Tibouchina aspera Aubl.",28,10,2012,-4.492222,-61.164167
"aspera","Tibouchina aspera Aubl.",26,10,2012,-3.391944,-61.442222
"aspera","Tibouchina aspera Aubl.",30,3,2011,-9.4458,-64.7797
"aspera","Tibouchina aspera Aubl.",21,7,2010,-0.5767,-51.1758
"aspera","Tibouchina aspera Aubl.",27,6,1999,-4.05,-41.44
"aspera","Tibouchina aspera Aubl.",30,7,1995,3.26,-59.46
"aspera","Tibouchina aspera Aubl.",30,7,1995,3.43333,-59.76666
"aspera","Tibouchina aspera Aubl.",16,8,1995,6.5,-58.16666
"aspera","Tibouchina aspera Aubl.",16,1,1993,4.81667,-60.0167
"aspera","Tibouchina aspera Aubl.",30,5,1993,4.36,-67.73
"aspera","Tibouchina aspera Aubl.",10,12,1993,4.55,-71.33333
"aspera","Tibouchina aspera Aubl.",15,12,1993,4.9,-68.33333
"aspera","Tibouchina aspera Aubl.",9,12,1993,5.4,-67.61
"aspera","Tibouchina aspera Aubl.",22,3,1992,-8.26666,-72.78333
"aspera","Tibouchina aspera Aubl.",22,3,1992,-8.266667,-72.78
"aspera","Tibouchina aspera Aubl.",22,3,1992,-8.27,-72.78
"aspera","Tibouchina aspera Aubl.",26,5,1992,5.41,-53.06
"aspera","Tibouchina aspera Aubl.",NA,NA,1990,5.36666,-58.11666
"aspera","Tibouchina aspera Aubl.",3,9,1989,1.65,-58.63333
"aspera","Tibouchina aspera Aubl.",13,9,1989,7.11,-63.23
"aspera","Tibouchina aspera Aubl.",NA,10,1989,5.15,-67.75
"aspera","Tibouchina aspera Aubl.",NA,NA,1989,5.55,-57.66666
"aspera","Tibouchina aspera Aubl.",28,4,1988,5.31666,-61.05
"aspera","Tibouchina aspera Aubl.",3,5,1988,5,-61.16666
"aspera","Tibouchina aspera Aubl.",10,9,1988,3.88,-58.91
"aspera","Tibouchina aspera Aubl.",12,4,1987,5.6,-57.58
