"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"aspera","Tibouchina aspera Aubl.",9,11,2014,-4.596111,-60.158056,"88160","UFPR","gbif"
"aspera","Tibouchina aspera Aubl.",28,10,2012,-4.492222,-61.164167,"RB00748451","JBRJ","gbif"
"aspera","Tibouchina aspera Aubl.",26,10,2012,-3.391944,-61.442222,"RB00748406","JBRJ","gbif"
"aspera","Tibouchina aspera Aubl.",30,3,2011,-9.4458,-64.7797,"01855456","NY","gbif"
"aspera","Tibouchina aspera Aubl.",21,7,2010,-0.5767,-51.1758,"1281327","NY","gbif"
"aspera","Tibouchina aspera Aubl.",27,6,1999,-4.05,-41.44,"125941","UNICAMP","gbif"
"aspera","Tibouchina aspera Aubl.",30,7,1995,3.26,-59.46,"92187","UNICAMP","gbif"
"aspera","Tibouchina aspera Aubl.",30,7,1995,3.43333,-59.76666,"2512503","MO","gbif"
"aspera","Tibouchina aspera Aubl.",16,8,1995,6.5,-58.16666,"3273040","MO","gbif"
"aspera","Tibouchina aspera Aubl.",16,1,1993,4.81667,-60.0167,NA,"US","gbif"
"aspera","Tibouchina aspera Aubl.",30,5,1993,4.36,-67.73,"3289863","US","gbif"
"aspera","Tibouchina aspera Aubl.",10,12,1993,4.55,-71.33333,"P04888164","MNHN","gbif"
"aspera","Tibouchina aspera Aubl.",15,12,1993,4.9,-68.33333,"P04888167","MNHN","gbif"
"aspera","Tibouchina aspera Aubl.",9,12,1993,5.4,-67.61,"3289837","US","gbif"
"aspera","Tibouchina aspera Aubl.",22,3,1992,-8.26666,-72.78333,"3401826","MO","gbif"
"aspera","Tibouchina aspera Aubl.",22,3,1992,-8.266667,-72.78,"176458","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"aspera","Tibouchina aspera Aubl.",22,3,1992,-8.27,-72.78,"01290927","NY","gbif"
"aspera","Tibouchina aspera Aubl.",26,5,1992,5.41,-53.06,"3258597","US","gbif"
"aspera","Tibouchina aspera Aubl.",NA,NA,1990,5.36666,-58.11666,"3274613","MO","gbif"
"aspera","Tibouchina aspera Aubl.",3,9,1989,1.65,-58.63333,"3274768","MO","gbif"
"aspera","Tibouchina aspera Aubl.",13,9,1989,7.11,-63.23,"3230794","US","gbif"
"aspera","Tibouchina aspera Aubl.",NA,10,1989,5.15,-67.75,"3358123","US","gbif"
"aspera","Tibouchina aspera Aubl.",NA,NA,1989,5.55,-57.66666,"3274096","MO","gbif"
"aspera","Tibouchina aspera Aubl.",28,4,1988,5.31666,-61.05,"329290","MO","gbif"
"aspera","Tibouchina aspera Aubl.",3,5,1988,5,-61.16666,"329348","MO","gbif"
"aspera","Tibouchina aspera Aubl.",10,9,1988,3.88,-58.91,"3178270","US","gbif"
"aspera","Tibouchina aspera Aubl.",12,4,1987,5.6,-57.58,"3178024","US","gbif"
"aspera","Tibouchina aspera Aubl.",10,4,1987,-10.73,-65.25,"01290914","NY","gbif"
"aspera","Tibouchina aspera Aubl.",8,6,1987,-12.45,-67.616667,"318871","MO","gbif"
"aspera","Tibouchina aspera Aubl.",25,8,1987,1.3,-60.58333,"3254557","MO","gbif"
"aspera","Tibouchina aspera Aubl.",25,8,1987,4.1642,-60.58,"153959","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"aspera","Tibouchina aspera Aubl.",15,8,1987,2.88,-54.06,"3192578","US","gbif"
"aspera","Tibouchina aspera Aubl.",15,8,1987,2.883333,-54.07,"214819","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"aspera","Tibouchina aspera Aubl.",25,8,1987,1.3,-60.58,"K000972725","K","gbif"
"aspera","Tibouchina aspera Aubl.",4,10,1987,-10.733333,-65.25,"180813","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"aspera","Tibouchina aspera Aubl.",4,10,1987,-10.733333,-65.25,"958","Faculdade São Lucas (FSL)","gbif"
