"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"barbigera","Tibouchina barbigera Cogn.",19,1,2005,-15.801111,-48.834722,"ESA089710","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","gbif"
"barbigera","Tibouchina barbigera",23,3,1997,-13.5522,-52.2683,"ESA036222","ESALQ","spLink"
"barbigera","Tibouchina barbigera",9,6,1997,-12.634444,-56.335,"ESA044291","ESALQ","spLink"
"barbigera","Tibouchina barbigera",10,10,1997,-14.9569,-54.9656,"ESA044292","ESALQ","spLink"
"barbigera","Tibouchina barbigera",20,5,1997,-14.5136,-56.4825,"ESA044293","ESALQ","spLink"
"barbigera","Tibouchina barbigera",20,5,1997,-14.5136,-56.4825,"ESA044296","ESALQ","spLink"
"barbigera","Tibouchina barbigera",26,3,1997,-15.0535,-52.2582,"ESA044300","ESALQ","spLink"
"barbigera","Tibouchina barbigera",20,3,1997,-15.89,-52.2567,"ESA044301","ESALQ","spLink"
"barbigera","Tibouchina barbigera",25,3,1997,-15.0535,-52.2582,"ESA044302","ESALQ","spLink"
"barbigera","Tibouchina barbigera",24,5,1997,-14.35,-55.57,"ESA044307","ESALQ","spLink"
"barbigera","Tibouchina barbigera",14,6,1997,-13.51,-56.29,"ESA044309","ESALQ","spLink"
"barbigera","Tibouchina barbigera",14,6,1997,-13.52,-56.32,"ESA044310","ESALQ","spLink"
"barbigera","Tibouchina barbigera",28,3,1997,-13.2422,-53.0797,"ESA044315","ESALQ","spLink"
"barbigera","Tibouchina barbigera",23,2,1997,-14.9058,-53.0183,"ESA065348","ESALQ","spLink"
"barbigera","Tibouchina barbigera",19,1,2005,-15.801111,-48.834722,"ESA089710","ESALQ","spLink"
"barbigera","Tibouchina barbigera",10,2,2007,-15.7944,-48.7758,"ESA113805","ESALQ","spLink"
"barbigera","Tibouchina barbigera",8,2,1980,-8.0722223,-50.1819445,"2701995","MOBOT","spLink"
"barbigera","Tibouchina barbigera",27,2,1980,-6.8166667,-47.8166667,"2775861","MOBOT","spLink"
"barbigera","Tibouchina barbigera",22,5,1982,-6.06666,-50.13333,"3300455","MOBOT","spLink"
"barbigera","Tibouchina barbigera",18,4,1988,-14.85,-48.86666,"3464635","MOBOT","spLink"
"barbigera","Tibouchina barbigera",25,5,1966,-14.13,-52.15,"941576","NYBG","spLink"
"barbigera","Tibouchina barbigera",1,6,1966,-13.92,-52.08,"941577","NYBG","spLink"
"barbigera","Tibouchina barbigera",5,6,1966,-14.03,-52.12,"941578","NYBG","spLink"
"barbigera","Tibouchina barbigera",8,6,1966,-14.6667,-52.33,"941579","NYBG","spLink"
"barbigera","Tibouchina barbigera",26,6,1966,-17.25,-51.8,"941580","NYBG","spLink"
"barbigera","Tibouchina barbigera",29,4,1973,-17.1278,-51.8167,"941581","NYBG","spLink"
"barbigera","Tibouchina barbigera",5,5,1973,-15.77955,-51.9912,"941582","NYBG","spLink"
"barbigera","Tibouchina barbigera",7,5,1968,-12.9419,-51.8242,"941583","NYBG","spLink"
"barbigera","Tibouchina barbigera",25,5,1968,-12.9,-51.87,"941584","NYBG","spLink"
"barbigera","Tibouchina barbigera",13,4,1972,-20.4711,-55.7869,"941585","NYBG","spLink"
"barbigera","Tibouchina barbigera",18,5,1973,-15.5961,-56.0967,"941586","NYBG","spLink"
"barbigera","Tibouchina barbigera",1,4,1968,-14.63,-52.23,"941587","NYBG","spLink"
"barbigera","Tibouchina barbigera",2,4,1968,-14.63,-52.23,"941588","NYBG","spLink"
"barbigera","Tibouchina barbigera",28,3,1980,-15.7797,-47.9294,"941589","NYBG","spLink"
"barbigera","Tibouchina barbigera",31,3,1980,-15.7797,-47.9294,"941590","NYBG","spLink"
"barbigera","Tibouchina barbigera",2,2,1979,-15.6489,-56.195,"941591","NYBG","spLink"
"barbigera","Tibouchina barbigera",2,3,1977,-16.17,-59.42,"941593","NYBG","spLink"
"barbigera","Tibouchina barbigera",NA,7,1978,-14.4086,-56.4458,"941595","NYBG","spLink"
"barbigera","Tibouchina barbigera",22,5,1956,-13.75,-48.83,"941597","NYBG","spLink"
"barbigera","Tibouchina barbigera",1,6,1950,-7.3331,-47.4692,"941598","NYBG","spLink"
"barbigera","Tibouchina barbigera",18,4,1988,-14.85,-48.87,"941599","NYBG","spLink"
"barbigera","Tibouchina barbigera",5,3,1966,-16.8233,-49.2439,"941600","NYBG","spLink"
"barbigera","Tibouchina barbigera",12,8,1963,-9.8358,-48.7253,"1290956","NYBG","spLink"
"barbigera","Tibouchina barbigera",8,2,1980,-8.05,-50.166667,"119997","INPA","spLink"
"barbigera","Tibouchina barbigera",13,2,1980,-8.05,-50.166667,"122613","INPA","spLink"
"barbigera","Tibouchina barbigera",NA,NA,NA,-18.1425,-48.5614,"20813","Cenargen","spLink"
"barbigera","Tibouchina barbigera",NA,NA,NA,-15.59167,-47.70833,"29894","Cenargen","spLink"
"barbigera","Tibouchina barbigera",20,5,1997,-14.51360035,-56.48249817,"78710","UFPR","spLink"
"barbigera","Tibouchina barbigera",20,5,1997,-14.617,-56.583,"78711","UFPR","spLink"
"barbigera","Tibouchina barbigera",23,3,1997,-13.908,-52.078,"78713","UFPR","spLink"
"barbigera","Tibouchina barbigera",28,3,1997,-13.618,-53.292,"78714","UFPR","spLink"
"barbigera","Tibouchina barbigera",10,2,2006,-15.85,-52.267,"81655","UFPR","spLink"
"barbigera","Tibouchina barbigera",18,3,2012,-16.035709,-50.104255,"90573","UFPR","spLink"
"barbigera","Tibouchina barbigera",18,2,2003,-16.0821991,-48.50719833,"40051","UFU","spLink"
"barbigera","Tibouchina barbigera",25,3,1993,-18.91860008,-48.27719879,"4061","UFU","spLink"
"barbigera","Tibouchina barbigera",15,4,2008,-18.91860008,-48.27719879,"51788","UFU","spLink"
"barbigera","Tibouchina barbigera",10,3,2012,-17.30279922,-49.01670074,"61921","UFU","spLink"
"barbigera","Tibouchina barbigera",10,3,2012,-17.30279922,-49.01670074,"61922","UFU","spLink"
"barbigera","Tibouchina barbigera",10,3,2012,-17.30279922,-49.01670074,"61923","UFU","spLink"
"barbigera","Tibouchina barbigera",10,3,2012,-17.30279922,-49.01670074,"61924","UFU","spLink"
"barbigera","Tibouchina barbigera",10,3,2012,-17.30279922,-49.01670074,"61925","UFU","spLink"
"barbigera","Tibouchina barbigera",4,1,2007,-15.923333,-49.231667,"63204","UFU","spLink"
"barbigera","Tibouchina barbigera",12,3,2004,-13.648056,-46.596111,"63433","UFU","spLink"
"barbigera","Tibouchina barbigera",3,4,2009,-18.606389,-48.303611,"69647","UFU","spLink"
"barbigera","Tibouchina barbigera",7,4,1995,-18.91860008,-48.27719879,"8573","UFU","spLink"
"barbigera","Tibouchina barbigera",10,2,1986,-16.6786,-49.2539,"100586","UnB","spLink"
"barbigera","Tibouchina barbigera",25,5,1967,-15.53719997,-47.33440018,"106525","UnB","spLink"
"barbigera","Tibouchina barbigera",25,2,1987,-17.833333,-55.333333,"106527","UnB","spLink"
"barbigera","Tibouchina barbigera",25,5,1968,-12.9,-51.866667,"106528","UnB","spLink"
"barbigera","Tibouchina barbigera",25,5,1976,-15.85249996,-48.95920181,"106533","UnB","spLink"
"barbigera","Tibouchina barbigera",19,4,1999,-14.67329979,-52.35309982,"106546","UnB","spLink"
"barbigera","Tibouchina barbigera",3,8,1997,-6.666667,-44.7,"134504","UnB","spLink"
"barbigera","Tibouchina barbigera",7,3,1982,-15.59609985,-56.09669876,"134505","UnB","spLink"
"barbigera","Tibouchina barbigera",7,4,1995,-18.91860008,-48.27719879,"134694","UnB","spLink"
"barbigera","Tibouchina barbigera",25,3,1993,-18.91860008,-48.27719879,"134695","UnB","spLink"
"barbigera","Tibouchina barbigera",14,6,1997,-13.866667,-56.533333,"202044","UnB","spLink"
"barbigera","Tibouchina barbigera",20,1,2001,-13.529444,-47.0675,"37322","UnB","spLink"
"barbigera","Tibouchina barbigera",NA,3,2005,-16.518806,-49.146111,"88617","UnB","spLink"
"barbigera","Tibouchina barbigera",28,4,2000,-15.77970028,-47.92969894,"8901","UnB","spLink"
"barbigera","Tibouchina barbigera",19,4,1983,-15.583333,-47.916667,"","UnB","spLink"
"barbigera","Tibouchina barbigera",21,3,1994,-10.124444,-48.270556,"9832","JBB","spLink"
