"specificEpithet","scientificName","day","month","year","latitude","longitude"
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",23,5,1997,-14.53,-54.51
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",25,11,1992,5.96,-67.36
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",20,11,1985,8.91666,-71.68333
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",18,11,1984,6.83,-66.5
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",NA,NA,1984,6.83333,-66.5
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",28,10,1982,9.7,-69.533333
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",1,11,1982,9.42416,-69.50861
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",9,11,1980,5.68,-67.18
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",17,4,1978,5.85,-67.483333
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",8,12,1977,5.53,-67.53
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",8,12,1977,5.75,-67.5
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",6,12,1975,8.54083,-81.15722
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",1,11,1971,5.55,-67.59
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",1,11,1971,5.5512,-67.588
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",20,2,1963,7.8,-80.75
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",12,12,1955,6.03,-67.36
"bipenicillata","Tibouchina bipenicillata (Naud.) Cogn.",13,10,1945,4.157558,-73.635531
"bipenicillata","Tibouchina bipenicillata",19,3,1997,-11.2222,-50.6692
"bipenicillata","Tibouchina bipenicillata",23,5,1997,-14.53,-54.51
"bipenicillata","Tibouchina bipenicillata",20,4,1997,-15.0081,-59.9506
"bipenicillata","MELASTOMATACEAE Tibouchina aff. bipenicillata (Naud.) Baill.",NA,NA,NA,-14.53,-54.51
