"specificEpithet","scientificName","day","month","year","latitude","longitude"
"dissitiflora","Tibouchina dissitiflora Wurdack",21,3,1988,5.75,-66.05
"dissitiflora","Tibouchina dissitiflora Wurdack",16,10,1987,1.53333,-65.81666
"dissitiflora","Tibouchina dissitiflora Wurdack",17,10,1987,1.43,-65.78
"dissitiflora","Tibouchina dissitiflora Wurdack",17,10,1987,1.43333,-65.78333
"dissitiflora","Tibouchina dissitiflora Wurdack",12,2,1985,0.908333,-66.04
"dissitiflora","Tibouchina dissitiflora Wurdack",12,2,1985,0.9,-66.04
"dissitiflora","Tibouchina dissitiflora Wurdack",20,10,1985,5.91666,-66.38333
"dissitiflora","Tibouchina dissitiflora Wurdack",20,10,1985,5.91,-66.38
"dissitiflora","Tibouchina dissitiflora Wurdack",7,2,1984,0.86666,-66.08333
"dissitiflora","Tibouchina dissitiflora Wurdack",16,2,1984,0.9,-66.066667
"dissitiflora","Tibouchina dissitiflora Wurdack",7,2,1984,0.88138,-66.08333
"dissitiflora","Tibouchina dissitiflora Wurdack",7,2,1984,0.881389,-66.083333
"dissitiflora","Tibouchina dissitiflora Wurdack",18,4,1984,0.78333,-66.18333
"dissitiflora","Tibouchina dissitiflora Wurdack",5,12,1972,1.5,-65.85
"dissitiflora","Tibouchina dissitiflora Wurdack",21,12,1957,0.98,-65.93
"dissitiflora","Tibouchina dissitiflora Wurdack",15,1,1954,7.1225,-66.16944
"dissitiflora","Tibouchina dissitiflora",12,2,1985,0.908333,-66.041667
"dissitiflora","Tibouchina dissitiflora",7,2,1984,0.881389,-66.083333
