"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"dissitiflora","Tibouchina dissitiflora Wurdack",21,3,1988,5.75,-66.05,"3133659","US","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",16,10,1987,1.53333,-65.81666,"3273377","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",17,10,1987,1.43,-65.78,"3112863","US","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",17,10,1987,1.43333,-65.78333,"329363","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",12,2,1985,0.908333,-66.04,"161058","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",12,2,1985,0.9,-66.04,"3081395","US","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",20,10,1985,5.91666,-66.38333,"3273312","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",20,10,1985,5.91,-66.38,"3124064","US","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",7,2,1984,0.86666,-66.08333,"2958256","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",16,2,1984,0.9,-66.066667,"330124","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",7,2,1984,0.88138,-66.08333,"3273565","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",7,2,1984,0.881389,-66.083333,"205066","Instituto de Botânica, IBT","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",18,4,1984,0.78333,-66.18333,"320216","MO","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",5,12,1972,1.5,-65.85,"2698267","US","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",21,12,1957,0.98,-65.93,"2279348","US","gbif"
"dissitiflora","Tibouchina dissitiflora Wurdack",15,1,1954,7.1225,-66.16944,"G-G-257264/1","G","gbif"
"dissitiflora","Tibouchina dissitiflora",12,2,1985,0.908333,-66.041667,"161058","INPA","spLink"
"dissitiflora","Tibouchina dissitiflora",7,2,1984,0.881389,-66.083333,"205066","IBt","spLink"
