"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,3,2012,-16.035709,-50.104255,"90567","UFPR","gbif"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,3,2012,-16.035709,-50.104255,"188231","UNICAMP","gbif"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,3,2012,-16.366667,-51.366389,"RB00695506","JBRJ","gbif"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,3,2012,-16.366667,-51.366389,"RB00695505","JBRJ","gbif"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",7,2,1980,-16.066667,-50.183333,"106541","UnB","gbif"
"johnwurdackiana","Tibouchina johnwurdackiana Todzia",18,1,1966,-14,-50,"K000276345","K","gbif"
"johnwurdackiana","Tibouchina johnwurdackiana",18,3,2012,-16.035709,-50.104255,"90567","UFPR","spLink"
"johnwurdackiana","Tibouchina johnwurdackiana",7,2,1980,-16.066667,-50.183333,"106541","UnB","spLink"
"johnwurdackiana","Tibouchina johnwurdackiana",18,3,2012,-16.035709,-50.104255,"188231","UNICAMP","spLink"
"johnwurdackiana","Tibouchina johnwurdackiana",18,1,1966,-15.9343996,-50.14030075,"184547","USP","spLink"
"johnwurdackiana","MELASTOMATACEAE Tibouchina johnwurdackiana Todzia",18,3,2012,-16.3666666666667,-51.3663888888889,NA,NA,"reflora"
"johnwurdackiana","MELASTOMATACEAE Tibouchina johnwurdackiana Todzia",18,3,2012,-16.0358333333333,-50.1041666666667,NA,NA,"reflora"
