"specificEpithet","scientificName","day","month","year","latitude","longitude"
"llanorum","Tibouchina llanorum Wurdack",21,5,1994,-13.65388,-60.83111
"llanorum","Tibouchina llanorum Wurdack",30,5,1994,-13.55083,-61.05861
"llanorum","Tibouchina llanorum Wurdack",25,5,1994,-13.55083,-61.05861
"llanorum","Tibouchina llanorum Wurdack",NA,11,1988,6.66,-65.71
"llanorum","Tibouchina llanorum Wurdack",8,9,1985,6.28333,-67.08333
"llanorum","Tibouchina llanorum Wurdack",8,9,1985,6.28,-67.08
"llanorum","Tibouchina llanorum Wurdack",18,11,1984,6.83333,-66.5
"llanorum","Tibouchina llanorum Wurdack",NA,NA,1984,-13.08333,-67.25
"llanorum","Tibouchina llanorum Wurdack",3,11,1982,9.30833,-69.7
"llanorum","Tibouchina llanorum Wurdack",9,10,1979,5.53,-65.95
"llanorum","Tibouchina llanorum Wurdack",5,1,1956,6.44,-67.12
"llanorum","Tibouchina llanorum Wurdack",NA,NA,NA,-13.6,-61
