"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"llanorum","Tibouchina llanorum Wurdack",21,5,1994,-13.65388,-60.83111,"940447","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",30,5,1994,-13.55083,-61.05861,"943289","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",25,5,1994,-13.55083,-61.05861,"943070","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",NA,11,1988,6.66,-65.71,"3242004","US","gbif"
"llanorum","Tibouchina llanorum Wurdack",8,9,1985,6.28333,-67.08333,"3271704","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",8,9,1985,6.28,-67.08,"3041041","US","gbif"
"llanorum","Tibouchina llanorum Wurdack",18,11,1984,6.83333,-66.5,"2959803","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",NA,NA,1984,-13.08333,-67.25,"3271302","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",3,11,1982,9.30833,-69.7,"3271865","MO","gbif"
"llanorum","Tibouchina llanorum Wurdack",9,10,1979,5.53,-65.95,"2899708","US","gbif"
"llanorum","Tibouchina llanorum Wurdack",5,1,1956,6.44,-67.12,"2342573","US","gbif"
"llanorum","Tibouchina llanorum Wurdack",NA,NA,NA,-13.6,-61,"1531023","MO","gbif"
