"specificEpithet","scientificName","day","month","year","latitude","longitude"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",10,3,2015,-12.348,-46.338
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,7,2014,-15.841099,-48.746796
"melastomoides","Tibouchina melastomoides (Naud) Cogn",20,3,2012,-14.179722,-47.842222
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,3,2012,-14.071511,-47.391086
"melastomoides","Tibouchina melastomoides (Naud) Cogn",19,2,2009,-14.1108,-47.3737
"melastomoides","Tibouchina melastomoides (Naud) Cogn",15,5,2006,-15.798889,-48.818611
"melastomoides","Tibouchina melastomoides (Naud) Cogn",17,10,2006,-14.235278,-47.905833
"melastomoides","Tibouchina melastomoides (Naud) Cogn",20,5,2004,-13.823083,-47.457639
"melastomoides","Tibouchina melastomoides (Naud) Cogn",18,4,2002,-13.3775,-48.050278
"melastomoides","Tibouchina melastomoides (Naud) Cogn",8,5,2001,-10.55,-46.75
"melastomoides","Tibouchina melastomoides (Naud) Cogn",6,11,1999,-7.357222,-48.372222
"melastomoides","Tibouchina melastomoides (Naud) Cogn",13,4,1996,-14.488611,-48.557222
"melastomoides","Tibouchina melastomoides (Naud) Cogn",11,9,1996,-14.161111,-47.790833
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,7,1995,-13.966667,-48.3
"melastomoides","Tibouchina melastomoides (Naud) Cogn",13,4,1994,-10.283333,-48.216667
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,6,1990,-14.32,-48.4
"melastomoides","Tibouchina melastomoides (Naud) Cogn",10,9,1982,-15.32,-47.33
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,4,1978,-11.433333,-47.566667
"melastomoides","Tibouchina melastomoides (Naud) Cogn",8,3,1969,-13.7975,-47.4583
"melastomoides","Tibouchina melastomoides (Naud) Cogn",8,3,1969,-13.86327,-47.5
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.71889,-48.29944
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.662222,-48.268055
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.45,-49.08333
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.566666,-48.166666
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.36667,-48.2
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-15.55,-48.25
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-10.77306,-53.08972
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.3775,-48.050277
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.63333,-48.96667
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.35,-48.2
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-10.77305556,-53.08972222
"melastomoides","Tibouchina melastomoides",8,3,1969,-13.86327,-47.5
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.566666,-48.166666
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-15.55,-48.25
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.36667,-48.2
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.35,-48.2
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.45,-49.08333
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.662222,-48.268055
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.63333,-48.96667
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.71889,-48.29944
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.3775,-48.050277
"melastomoides","Tibouchina melastomoides",10,3,2015,-12.348,-46.338
"melastomoides","Tibouchina melastomoides",22,7,2007,-14.166111,-47.780556
"melastomoides","Tibouchina melastomoides",28,4,1996,-15.85249996,-48.95920181
"melastomoides","Tibouchina melastomoides",18,4,2002,-13.3775,-48.050278
"melastomoides","Tibouchina melastomoides",9,7,1991,-15.16030025,-48.28390121
"melastomoides","Tibouchina melastomoides",11,10,1991,-13.53310013,-48.22000122
"melastomoides","Tibouchina melastomoides",21,3,2012,-14.13249969,-47.50999832
"melastomoides","Tibouchina melastomoides",17,10,2006,-14.235278,-47.905833
"melastomoides","Tibouchina melastomoides",14,4,2002,-15.85249996,-48.95920181
"melastomoides","Tibouchina melastomoides",8,3,1969,-13.7975,-47.4583
"melastomoides","Tibouchina melastomoides",8,5,2001,-10.55,-46.75
"melastomoides","Tibouchina melastomoides",10,5,1963,-15.77970028,-47.92969894
"melastomoides","Tibouchina melastomoides",15,5,2006,-15.798889,-48.818611
"melastomoides","Tibouchina melastomoides",11,9,1996,-14.161111,-47.790833
"melastomoides","Tibouchina melastomoides",20,5,2004,-13.823083,-47.457639
"melastomoides","Tibouchina melastomoides",13,4,1994,-10.283333,-48.216667
