"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",10,3,2015,-12.348,-46.338,"82567","UFPR","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,7,2014,-15.841099,-48.746796,"187766","UNICAMP","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",20,3,2012,-14.179722,-47.842222,"RB00696755","JBRJ","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,3,2012,-14.071511,-47.391086,"188127","UNICAMP","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",19,2,2009,-14.1108,-47.3737,"171994","UNICAMP","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",15,5,2006,-15.798889,-48.818611,"42367","UFG","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",15,5,2006,-15.798889,-48.818611,"112701","UnB","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",17,10,2006,-14.235278,-47.905833,"63944","UFU","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",20,5,2004,-13.823083,-47.457639,"37023","UnB","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",18,4,2002,-13.3775,-48.050278,"40006","UFU","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",8,5,2001,-10.55,-46.75,"106992","UnB","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",6,11,1999,-7.357222,-48.372222,"RB01161811","JBRJ","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",13,4,1996,-14.488611,-48.557222,"RB00241318","JBRJ","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",11,9,1996,-14.161111,-47.790833,"142847","UnB","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,7,1995,-13.966667,-48.3,"315396","Instituto de Botânica, IBT","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",13,4,1994,-10.283333,-48.216667,"9272","Jardim Botânico de Brasília (JBB)","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,6,1990,-14.32,-48.4,"K000972730","K","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",10,9,1982,-15.32,-47.33,"54110","UNICAMP","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",21,4,1978,-11.433333,-47.566667,"RB00229861","JBRJ","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",8,3,1969,-13.7975,-47.4583,"100559","UnB","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",8,3,1969,-13.86327,-47.5,"00748869","NY","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.71889,-48.29944,"28724","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.662222,-48.268055,"22645","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.45,-49.08333,"17533","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.566666,-48.166666,"14303","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.36667,-48.2,"16971","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-15.55,-48.25,"15635","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-10.77306,-53.08972,"G-G-257253/1","G","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-10.77306,-53.08972,"G-G-257251/1","G","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-10.77306,-53.08972,"G-G-257252/1","G","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-13.3775,-48.050277,"49808","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.63333,-48.96667,"24201","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides (Naud) Cogn",NA,NA,NA,-14.35,-48.2,"17046","Cenargen","gbif"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-10.77305556,-53.08972222,"G00368031","G","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-10.77305556,-53.08972222,"G00368032","G","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-10.77305556,-53.08972222,"G00368033","G","spLink"
"melastomoides","Tibouchina melastomoides",8,3,1969,-13.86327,-47.5,"748869","NYBG","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.566666,-48.166666,"14303","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-15.55,-48.25,"15635","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.36667,-48.2,"16971","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.35,-48.2,"17046","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.45,-49.08333,"17533","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.662222,-48.268055,"22645","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-14.63333,-48.96667,"24201","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.71889,-48.29944,"28724","Cenargen","spLink"
"melastomoides","Tibouchina melastomoides",NA,NA,NA,-13.3775,-48.050277,"49808","Cenargen","spLink"
