"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"nigricans","Tibouchina nigricans Cogn. ex P.J.F.Guim., A.L.F.Oliveira & R.Romero",27,11,2014,-14.131111,-47.669167,"88157","UFPR","gbif"
"nigricans","Tibouchina nigricans Cogn. ex P.J.F.Guim., A.L.F.Oliveira & R.Romero",21,3,2012,-14.143056,-47.703056,"RB00695515","JBRJ","gbif"
"nigricans","Tibouchina nigricans",NA,NA,NA,-10.77305556,-53.08972222,"G00368035","G","spLink"
"nigricans","Tibouchina nigricans",11,12,1965,-15.7797,-47.9297,"941928","NYBG","spLink"
"nigricans","Tibouchina nigricans",28,11,1976,-14.1325,-47.5097,"941929","NYBG","spLink"
"nigricans","Tibouchina nigricans",26,10,1965,-15.7797,-47.9294,"581300","NYBG","spLink"
"nigricans","Tibouchina nigricans",26,10,1965,-15.7797,-47.9294,"581301","NYBG","spLink"
"nigricans","Tibouchina nigricans",27,11,2014,-14.131111,-47.669167,"88157","UFPR","spLink"
"nigricans","Tibouchina nigricans",10,11,1981,-15.766667,-47.716667,"","UnB","spLink"
"nigricans","MELASTOMATACEAE Tibouchina nigricans P. J. F. Guim., A. L. F. Oliveira & R. Romero",21,3,2012,-14.1430555555556,-47.7030555555556,NA,NA,"reflora"
