"specificEpithet","scientificName","day","month","year","latitude","longitude"
"papyrus","Tibouchina papyrus (Pohl) Toledo",18,3,2012,-16.035709,-50.104255
"papyrus","Tibouchina papyrus (Pohl) Toledo",15,3,2002,-15.4809,-48.505
"papyrus","Tibouchina papyrus (Pohl) Toledo",27,10,1997,-16.1306220867293,-50.2156233906965
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-50.033333
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-50.03
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,12,1988,-14.0933,-47.4707
"papyrus","Tibouchina papyrus (Pohl) Toledo",18,1,1972,-15.85,-48.78195
"papyrus","Tibouchina papyrus (Pohl) Toledo",19,1,1966,-16.0611,-50.00122
"papyrus","Tibouchina papyrus (Pohl) Toledo",19,1,1966,-14.000618,-50.000564
"papyrus","Tibouchina papyrus",19,1,1966,-14.0006181,-50.0005639
"papyrus","Tibouchina papyrus",19,1,1966,-16.0611,-50.00122
"papyrus","Tibouchina papyrus",18,1,1972,-15.85,-48.78195
"papyrus","Tibouchina papyrus",27,10,1997,-16.1269,-50.215
"papyrus","Tibouchina papyrus",9,2,1988,-15.95,-50.03
"papyrus","Tibouchina papyrus",18,3,2012,-16.035709,-50.104255
"papyrus","Tibouchina papyrus",20,3,1996,-15.85249996,-48.95920181
"papyrus","Tibouchina papyrus",28,4,1996,-15.85249996,-48.95920181
"papyrus","Tibouchina papyrus",24,10,2001,-15.85249996,-48.95920181
"papyrus","Tibouchina papyrus",14,2,1990,-13.77639961,-47.26470184
"papyrus","Tibouchina papyrus",12,9,1991,-15.9236002,-48.80860138
"papyrus","Tibouchina papyrus",24,11,1994,-15.85249996,-48.95920181
"papyrus","Tibouchina papyrus",15,3,2002,-15.4809,-48.505
"papyrus","Tibouchina papyrus",9,12,1988,-14.0933,-47.4707
"papyrus","Tibouchina papyrus",9,2,1988,-15.95,-50.033333
"papyrus","MELASTOMATACEAE Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-5.00305555555556
"papyrus","MELASTOMATACEAE Tibouchina papyrus (Pohl) Toledo",18,3,2012,-16.0358333333333,-50.1041666666667
