"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"papyrus","Tibouchina papyrus (Pohl) Toledo",18,3,2012,-16.035709,-50.104255,"188213","UNICAMP","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",18,3,2012,-16.035709,-50.104255,"90572","UFPR","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",15,3,2002,-15.4809,-48.505,"129184","UNICAMP","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",27,10,1997,-16.1306220867293,-50.2156233906965,"00941755","NY","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-50.033333,"63564","USP","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-50.03,"K000972994","K","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-50.03,"00941757","NY","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",9,12,1988,-14.0933,-47.4707,"51040","UNICAMP","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",18,1,1972,-15.85,-48.78195,"00941754","NY","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",19,1,1966,-16.0611,-50.00122,"00941753","NY","gbif"
"papyrus","Tibouchina papyrus (Pohl) Toledo",19,1,1966,-14.000618,-50.000564,"3273742","MO","gbif"
"papyrus","Tibouchina papyrus",19,1,1966,-14.0006181,-50.0005639,"3273742","MOBOT","spLink"
"papyrus","Tibouchina papyrus",19,1,1966,-16.0611,-50.00122,"941753","NYBG","spLink"
"papyrus","Tibouchina papyrus",18,1,1972,-15.85,-48.78195,"941754","NYBG","spLink"
"papyrus","Tibouchina papyrus",27,10,1997,-16.1269,-50.215,"941755","NYBG","spLink"
"papyrus","Tibouchina papyrus",9,2,1988,-15.95,-50.03,"941757","NYBG","spLink"
"papyrus","Tibouchina papyrus",18,3,2012,-16.035709,-50.104255,"90572","UFPR","spLink"
"papyrus","Tibouchina papyrus",20,3,1996,-15.85249996,-48.95920181,"13105","UFU","spLink"
"papyrus","Tibouchina papyrus",28,4,1996,-15.85249996,-48.95920181,"13106","UFU","spLink"
"papyrus","Tibouchina papyrus",24,10,2001,-15.85249996,-48.95920181,"26209","UFU","spLink"
"papyrus","Tibouchina papyrus",14,2,1990,-13.77639961,-47.26470184,"24304","UCS","spLink"
"papyrus","Tibouchina papyrus",12,9,1991,-15.9236002,-48.80860138,"7574","JBB","spLink"
"papyrus","Tibouchina papyrus",24,11,1994,-15.85249996,-48.95920181,"15861","UFG","spLink"
"papyrus","Tibouchina papyrus",20,3,1996,-15.85249996,-48.95920181,"17982","UFG","spLink"
"papyrus","Tibouchina papyrus",28,4,1996,-15.85249996,-48.95920181,"18221","UFG","spLink"
"papyrus","Tibouchina papyrus",15,3,2002,-15.4809,-48.505,"129184","UNICAMP","spLink"
"papyrus","Tibouchina papyrus",18,3,2012,-16.035709,-50.104255,"188213","UNICAMP","spLink"
"papyrus","Tibouchina papyrus",9,12,1988,-14.0933,-47.4707,"51040","UNICAMP","spLink"
"papyrus","Tibouchina papyrus",9,2,1988,-15.95,-50.033333,"63564","USP","spLink"
"papyrus","MELASTOMATACEAE Tibouchina papyrus (Pohl) Toledo",9,2,1988,-15.95,-5.00305555555556,NA,NA,"reflora"
"papyrus","MELASTOMATACEAE Tibouchina papyrus (Pohl) Toledo",18,3,2012,-16.0358333333333,-50.1041666666667,NA,NA,"reflora"
