"specificEpithet","scientificName","day","month","year","latitude","longitude"
"verticillaris","Tibouchina verticillaris Cogn.",18,3,2012,-16.035709,-50.104255
"verticillaris","Tibouchina verticillaris Cogn.",4,3,2011,-9.69,-52.606
"verticillaris","Tibouchina verticillaris Cogn.",17,3,2010,-10.916944,-49.630556
"verticillaris","Tibouchina verticillaris Cogn.",23,3,2010,-8.807778,-49.082778
"verticillaris","Tibouchina verticillaris Cogn.",20,4,2005,-15.030833,-56.362222
"verticillaris","Tibouchina verticillaris Cogn.",18,2,2003,-14.396,-46.572917
"verticillaris","Tibouchina verticillaris Cogn.",25,1,2001,-13.5425,-48.000556
"verticillaris","Tibouchina verticillaris Cogn.",20,2,2001,-13.417222,-47.080278
"verticillaris","Tibouchina verticillaris Cogn.",9,2,2000,-15.8106,-54.9178
"verticillaris","Tibouchina verticillaris Cogn.",10,3,1998,-46.833333,-70.583333
"verticillaris","Tibouchina verticillaris Cogn.",10,3,1998,-7.583333,-46.083333
"verticillaris","Tibouchina verticillaris Cogn.",22,3,1997,-11.698,-51.428
"verticillaris","Tibouchina verticillaris Cogn.",14,3,1997,-11.575,-50.977
"verticillaris","Tibouchina verticillaris Cogn.",14,3,1997,-11.3431,-50.5837
"verticillaris","Tibouchina verticillaris Cogn.",NA,11,1997,-12.85,-49.1
"verticillaris","Tibouchina verticillaris Cogn.",18,3,1994,-10.253611,-48.095833
"verticillaris","Tibouchina verticillaris Cogn.",14,11,1993,-17.366667,-52.166667
"verticillaris","Tibouchina verticillaris Cogn.",6,1,1984,-16,-50.133333
"verticillaris","Tibouchina verticillaris Cogn.",31,1,1980,-14.568,-49.51
"verticillaris","Tibouchina verticillaris Cogn.",31,1,1980,-8.5006,-48.6008
"verticillaris","Tibouchina verticillaris Cogn.",31,1,1980,-3.416667,-48.62
"verticillaris","Tibouchina verticillaris Cogn.",10,2,1980,-15.916667,-50.15
"verticillaris","Tibouchina verticillaris Cogn.",10,2,1980,-15.92,-50.15
"verticillaris","Tibouchina verticillaris Cogn.",27,2,1980,-6.816667,-47.82
"verticillaris","Tibouchina verticillaris Cogn.",27,2,1980,-6.82,-47.82
"verticillaris","Tibouchina verticillaris Cogn.",4,3,1978,-13.65,-48.416667
"verticillaris","Tibouchina verticillaris Cogn.",13,1,1977,-14.733333,-52.333333
"verticillaris","Tibouchina verticillaris Cogn.",11,3,1973,-13.4536716251006,-47.2304222379731
"verticillaris","Tibouchina verticillaris Cogn.",11,3,1973,-13.273667550479,-47.2204212748853
"verticillaris","Tibouchina verticillaris Cogn.",3,3,1973,-14.116667,-47.516667
"verticillaris","Tibouchina verticillaris Cogn.",13,3,1973,-13.4736720780612,-47.2304222730263
"verticillaris","Tibouchina verticillaris Cogn.",13,4,1973,-18.03476,-43.3833
"verticillaris","Tibouchina verticillaris Cogn.",19,1,1972,-15.85,-48.75395
"verticillaris","Tibouchina verticillaris Cogn.",24,1,1972,-14.54942,-48.45
"verticillaris","Tibouchina verticillaris Cogn.",25,1,1970,-17.84727,-47.61584
"verticillaris","Tibouchina verticillaris Cogn.",8,2,1969,-12.9,-51.87
"verticillaris","Tibouchina verticillaris Cogn.",8,2,1969,-12.9,-51.866667
"verticillaris","Tibouchina verticillaris Cogn.",28,12,1969,-10.166667,-48.883333
"verticillaris","Tibouchina verticillaris Cogn.",14,1,1968,-15.85,-52.25
"verticillaris","Tibouchina verticillaris Cogn.",13,1,1968,-15.8,-48.77
"verticillaris","Tibouchina verticillaris Cogn.",18,3,1968,-8.93,-48.52
"verticillaris","Tibouchina verticillaris Cogn.",10,4,1968,-12.9,-51.866667
"verticillaris","Tibouchina verticillaris Cogn.",10,4,1968,-12.9,-51.87
"verticillaris","Tibouchina verticillaris Cogn.",15,11,1968,-14.666667,-52.35
"verticillaris","Tibouchina verticillaris Cogn.",5,12,1967,-12.816667,-51.766667
"verticillaris","Tibouchina verticillaris Cogn.",5,12,1967,-12.32,-51.77
"verticillaris","Tibouchina verticillaris Cogn.",21,1,1966,-16.15922,-50.1333
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-6.616667,-45.883333
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-10.773109,-53.08982
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-14.4739,-48.4597
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-13.96667,-48.3
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-13.46667,-48.38333
"verticillaris","Tibouchina verticillaris Cogn.",NA,NA,NA,-13.81667,-48.43333
"verticillaris","Tibouchina verticillaris",21,3,1997,-11.6172,-50.6694
"verticillaris","Tibouchina verticillaris",14,3,1997,-11.3431,-50.5837
"verticillaris","Tibouchina verticillaris",18,1,1999,-14.6733,-52.3531
"verticillaris","Tibouchina verticillaris",20,2,1997,-15.89,-52.2567
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-10.773109,-53.08982
"verticillaris","Tibouchina verticillaris",31,1,1980,-14.568,-49.51
"verticillaris","Tibouchina verticillaris",13,1,1968,-15.8,-48.77
"verticillaris","Tibouchina verticillaris",19,1,1972,-15.85,-48.75395
"verticillaris","Tibouchina verticillaris",13,3,1973,-13.47,-47.23
"verticillaris","Tibouchina verticillaris",21,1,1966,-16.15922,-50.1333
"verticillaris","Tibouchina verticillaris",25,1,1970,-17.84727,-47.61584
"verticillaris","Tibouchina verticillaris",24,1,1972,-14.54942,-48.45
"verticillaris","Tibouchina verticillaris",27,2,1980,-6.82,-47.82
"verticillaris","Tibouchina verticillaris",31,1,1980,-8.5006,-48.6008
"verticillaris","Tibouchina verticillaris",11,3,1973,-13.45,-47.23
"verticillaris","Tibouchina verticillaris",11,3,1973,-13.27,-47.22
"verticillaris","Tibouchina verticillaris",14,1,1968,-15.85,-52.25
"verticillaris","Tibouchina verticillaris",10,2,1980,-15.92,-50.15
"verticillaris","Tibouchina verticillaris",13,4,1973,-18.03476,-43.3833
"verticillaris","Tibouchina verticillaris",18,3,1968,-8.93,-48.52
"verticillaris","Tibouchina verticillaris",31,1,1980,-3.416667,-48.616667
"verticillaris","Tibouchina verticillaris",10,2,1980,-15.916667,-50.15
"verticillaris","Tibouchina verticillaris",27,2,1980,-6.816667,-47.816667
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-13.46667,-48.38333
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-13.96667,-48.3
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-13.81667,-48.43333
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-14.4739,-48.4597
"verticillaris","Tibouchina verticillaris",NA,NA,NA,-6.616667,-45.883333
"verticillaris","Tibouchina verticillaris",4,3,2011,-9.69,-52.606
"verticillaris","Tibouchina verticillaris",14,3,1997,-11.575,-50.977
"verticillaris","Tibouchina verticillaris",22,3,1997,-11.698,-51.428
"verticillaris","Tibouchina verticillaris",18,3,2012,-16.035709,-50.104255
"verticillaris","Tibouchina verticillaris",12,3,2008,-6.370830059,-44.36309814
"verticillaris","Tibouchina verticillaris",28,1,1976,-17.716667,-48.366667
"verticillaris","Tibouchina verticillaris",10,3,1998,-46.833333,-70.583333
"verticillaris","Tibouchina verticillaris",17,6,1998,-14.13249969,-47.50999832
"verticillaris","Tibouchina verticillaris",18,2,2000,-14.15139961,-48.07830048
"verticillaris","Tibouchina verticillaris",NA,11,1997,-12.85,-49.1
"verticillaris","Tibouchina verticillaris",5,12,1967,-12.816667,-51.766667
"verticillaris","Tibouchina verticillaris",15,11,1968,-14.666667,-52.35
"verticillaris","Tibouchina verticillaris",18,2,2003,-14.396,-46.572917
"verticillaris","Tibouchina verticillaris",3,3,1973,-14.116667,-47.516667
"verticillaris","Tibouchina verticillaris",13,1,1977,-14.733333,-52.333333
"verticillaris","Tibouchina verticillaris",8,2,1969,-12.9,-51.866667
"verticillaris","Tibouchina verticillaris",10,4,1968,-12.9,-51.866667
"verticillaris","Tibouchina verticillaris",6,1,1984,-16,-50.133333
"verticillaris","Tibouchina verticillaris",14,11,1993,-17.366667,-52.166667
"verticillaris","Tibouchina verticillaris",10,3,1998,-7.583333,-46.083333
"verticillaris","Tibouchina verticillaris",23,3,2010,-8.807778,-49.082778
"verticillaris","Tibouchina verticillaris",20,2,2001,-13.417222,-47.080278
"verticillaris","Tibouchina verticillaris",9,2,2000,-15.8106,-54.9178
"verticillaris","Tibouchina verticillaris",27,1,1991,-15.9343996,-50.14030075
"verticillaris","Tibouchina verticillaris",18,3,1994,-10.253611,-48.095833
"verticillaris","Tibouchina verticillaris",18,2,2003,-16.0821991,-48.50719833
"verticillaris","Tibouchina verticillaris",28,12,1969,-10.166667,-48.883333
"verticillaris","Tibouchina verticillaris",20,4,2005,-15.030833,-56.362222
"verticillaris","Tibouchina verticillaris",28,1,1976,-17.74169922,-48.625
"verticillaris","Tibouchina verticillaris",15,7,1979,-11.55000019,-41.15610123
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",10,4,1968,-12.9,-51.8666666666667
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",5,12,1967,-12.3166666666667,-51.7666666666667
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",10,2,1980,-15.9166666666667,-50.15
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",8,2,1969,-12.9,-51.8666666666667
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",14,1,1968,-15.85,-52.25
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",NA,NA,NA,-6.61666666666667,-45.8833333333333
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",10,3,1998,-46.5,-70.35
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris",NA,NA,NA,-15.8,-48.77
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",NA,NA,NA,-11.3430555555556,-50.5836111111111
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",17,3,2010,-10.9169444444444,-49.6305555555556
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",18,3,2012,-16.0358333333333,-50.1041666666667
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",4,3,1978,-13.65,-48.4166666666667
"verticillaris","MELASTOMATACEAE Tibouchina verticillaris Cogn.",25,1,2001,-13.5425,-48.0005555555556
