"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"verticillaris","Tibouchina verticillaris Cogn.",18,3,2012,-16.035709,-50.104255,"90150","UFPR","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",18,3,2012,-16.035709,-50.104255,"188212","UNICAMP","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",4,3,2011,-9.69,-52.606,"78693","UFPR","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",17,3,2010,-10.916944,-49.630556,"RB00669989","JBRJ","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",23,3,2010,-8.807778,-49.082778,"181332","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",20,4,2005,-15.030833,-56.362222,"95297","UEFS","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",18,2,2003,-14.396,-46.572917,"100476","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",25,1,2001,-13.5425,-48.000556,"RB01161237","JBRJ","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",20,2,2001,-13.417222,-47.080278,"37321","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",9,2,2000,-15.8106,-54.9178,"96297","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",10,3,1998,-46.833333,-70.583333,"57476","UFU","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",10,3,1998,-7.583333,-46.083333,"174321","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",22,3,1997,-11.698,-51.428,"78712","UFPR","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",14,3,1997,-11.575,-50.977,"78709","UFPR","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",14,3,1997,-11.3431,-50.5837,"ESA044312","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",NA,11,1997,-12.85,-49.1,"100444","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",18,3,1994,-10.253611,-48.095833,"9760","Jardim Botânico de Brasília (JBB)","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",14,11,1993,-17.366667,-52.166667,"134756","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",6,1,1984,-16,-50.133333,"106520","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",31,1,1980,-14.568,-49.51,"2673154","MO","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",31,1,1980,-8.5006,-48.6008,"00941869","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",31,1,1980,-3.416667,-48.62,"119763","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",10,2,1980,-15.916667,-50.15,"106514","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",10,2,1980,-15.92,-50.15,"K000972736","K","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",27,2,1980,-6.816667,-47.82,"122753","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",10,2,1980,-15.92,-50.15,"00941874","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",27,2,1980,-6.82,-47.82,"00941868","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",10,2,1980,-15.916667,-50.15,"121949","Instituto Nacional de Pesquisas da Amazônia (INPA)","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",4,3,1978,-13.65,-48.416667,"RB00246796","JBRJ","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",13,1,1977,-14.733333,-52.333333,"106513","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",11,3,1973,-13.4536716251006,-47.2304222379731,"00941871","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",11,3,1973,-13.273667550479,-47.2204212748853,"00941872","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",3,3,1973,-14.116667,-47.516667,"100571","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",13,3,1973,-13.4736720780612,-47.2304222730263,"00941864","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",13,4,1973,-18.03476,-43.3833,"00941876","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",19,1,1972,-15.85,-48.75395,"00748837","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",24,1,1972,-14.54942,-48.45,"00941867","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",25,1,1970,-17.84727,-47.61584,"00941866","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",8,2,1969,-12.9,-51.87,"K000972740","K","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",8,2,1969,-12.9,-51.866667,"106516","UnB","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",28,12,1969,-10.166667,-48.883333,"140730","Instituto de Botânica, IBT","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",28,12,1969,-10.166667,-48.883333,"129319","Instituto de Botânica, IBT","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",14,1,1968,-15.85,-52.25,"K000972742","K","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",14,1,1968,-15.85,-52.25,"K000972741","K","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",13,1,1968,-15.8,-48.77,"00748812","NY","gbif"
"verticillaris","Tibouchina verticillaris Cogn.",14,1,1968,-15.85,-52.25,"00941873","NY","gbif"
